Species,Taxon,Obs_t3,Exp_t3,Obs_t6,Exp_t6,Deviation_pct_t6,Direction,Significant
Alpheus diadema,Crustacean,0.667,0.833,3,1.667,80,Above,FALSE
Alpheus lottini,Crustacean,6.833,5.167,13,10.333,25.8,Above,FALSE
Athanas djiboutensis,Crustacean,6.667,5.167,14.667,10.333,41.9,Above,FALSE
Calcinus latens,Crustacean,16,9.833,23,19.667,16.9,Above,FALSE
Chlorodiella barbata,Crustacean,5.667,2.5,9,5,80,Above,FALSE
Coralliogalathea humilis,Crustacean,2.333,0.833,1,1.667,-40,Below,FALSE
Fennera chacei,Crustacean,51.833,102.167,97.333,204.333,-52.4,Below,FALSE
Galathea mauritiana,Crustacean,5.833,8.5,14.667,17,-13.7,Below,FALSE
Hargeria rapax,Crustacean,3.167,3.5,9,7,28.6,Above,FALSE
Harpiliopsis beaupresii,Crustacean,3,1.5,0.333,3,-88.9,Below,FALSE
Harpiliopsis spinigera,Crustacean,16,16.5,23.667,33,-28.3,Below,FALSE
Luniella pugil,Crustacean,2,2.833,7,5.667,23.5,Above,FALSE
Menaethius monoceros,Crustacean,1.833,1.667,4.667,3.333,40,Above,FALSE
Periclimenes watamuae,Crustacean,22.333,26.667,11,53.333,-79.4,Below,FALSE
Synalpheus charon,Crustacean,5.5,4.833,10,9.667,3.4,Above,FALSE
Trapezia serenei,Crustacean,18.5,14,39.667,28,41.7,Above,FALSE
Trapezia tigrina,Crustacean,0.667,0.667,2,1.333,50,Above,FALSE
Xanthias lamarckii,Crustacean,1.167,0.333,3.333,0.667,400,Above,TRUE
Caracanthus maculatus,Fish,1.5,2.5,1,5,-80,Below,FALSE
Dascyllus aruanus,Fish,13,14.833,10,29.667,-66.3,Below,TRUE
Dascyllus flavicaudus,Fish,5.667,7.333,11.667,14.667,-20.5,Below,FALSE
Halichoeres trimaculatus,Fish,1,1.333,1.333,2.667,-50,Below,FALSE
Paragobiodon modestus,Fish,8.333,9.5,16.333,19,-14,Below,FALSE
Apataxia cerithiiformis,Snail,7.667,3,27,6,350,Above,FALSE
Carinomitra typha,Snail,1.167,1,4,2,100,Above,FALSE
Cellana taitensis,Snail,0.833,1.167,2,2.333,-14.3,Below,FALSE
Cerithium zebrum,Snail,5.833,3.667,11.333,7.333,54.5,Above,FALSE
Diala albugo,Snail,4.833,2.5,16,5,220,Above,FALSE
Diala semistriata,Snail,2.333,2.5,9.333,5,86.7,Above,FALSE
Galeropsis monodonta,Snail,64,49,116.667,98,19,Above,FALSE
Macteola interrupta,Snail,1,0.167,2.333,0.333,600,Above,FALSE
Mitrella moleculina,Snail,0.833,0.333,10.667,0.667,1500,Above,TRUE
Morula zebrina,Snail,0.667,0.667,6,1.333,350,Above,FALSE
Pascula muricata,Snail,0.5,0.167,7,0.333,2000,Above,FALSE
Stomatolina rubra,Snail,1.667,0.333,2.667,0.667,300,Above,FALSE
Strigatella assimilis,Snail,1.167,1.5,6.667,3,122.2,Above,FALSE
Vexillum interruptum,Snail,0.833,0.5,1,1,0,Above,FALSE
Zafra hahajimana,Snail,0,1.167,4.333,2.333,85.7,Above,FALSE
