Species,Taxon_group,Treatment,Observed_mean,Expected_proportional,Direction,Significant
Alpheus diadema,Crustacean,3,0.667,1,Proportional,FALSE
Alpheus diadema,Crustacean,6,3,2,Proportional,FALSE
Alpheus lottini,Crustacean,3,6.833,5,Proportional,FALSE
Alpheus lottini,Crustacean,6,13,10,Proportional,FALSE
Athanas djiboutensis,Crustacean,3,6.667,3,Proportional,FALSE
Athanas djiboutensis,Crustacean,6,14.667,10,Proportional,FALSE
Calcinus latens,Crustacean,3,16,9,Proportional,FALSE
Calcinus latens,Crustacean,6,23,19,Proportional,FALSE
Chlorodiella barbata,Crustacean,3,5.667,2,Proportional,FALSE
Chlorodiella barbata,Crustacean,6,9,4,Proportional,FALSE
Coralliogalathea humilis,Crustacean,3,2.333,0,Proportional,FALSE
Coralliogalathea humilis,Crustacean,6,1,1,Proportional,FALSE
Fennera chacei,Crustacean,3,51.833,100,Proportional,FALSE
Fennera chacei,Crustacean,6,97.333,203,Proportional,FALSE
Galathea mauritiana,Crustacean,3,5.833,4,Proportional,FALSE
Galathea mauritiana,Crustacean,6,14.667,9,Proportional,FALSE
Hargeria rapax,Crustacean,3,3.167,4,Proportional,FALSE
Hargeria rapax,Crustacean,6,9,7,Proportional,FALSE
Harpiliopsis beaupresii,Crustacean,3,3,1,Proportional,FALSE
Harpiliopsis beaupresii,Crustacean,6,0.333,2,Proportional,FALSE
Harpiliopsis spinigera,Crustacean,3,16,16,Proportional,FALSE
Harpiliopsis spinigera,Crustacean,6,23.667,32,Proportional,FALSE
Luniella pugil,Crustacean,3,2,2,Proportional,FALSE
Luniella pugil,Crustacean,6,7,5,Proportional,FALSE
Menaethius monoceros,Crustacean,3,1.833,1,Proportional,FALSE
Menaethius monoceros,Crustacean,6,4.667,3,Proportional,FALSE
Periclimenes watamuae,Crustacean,3,22.333,18,Proportional,FALSE
Periclimenes watamuae,Crustacean,6,11,46,Proportional,FALSE
Synalpheus charon,Crustacean,3,5.5,5,Proportional,FALSE
Synalpheus charon,Crustacean,6,10,10,Proportional,FALSE
Trapezia serenei,Crustacean,3,18.5,14,Proportional,FALSE
Trapezia serenei,Crustacean,6,39.667,28,Proportional,FALSE
Trapezia tigrina,Crustacean,3,0.667,0,Proportional,FALSE
Trapezia tigrina,Crustacean,6,2,1,Proportional,FALSE
Xanthias lamarckii,Crustacean,3,1.167,0,Proportional,FALSE
Xanthias lamarckii,Crustacean,6,3.333,1,Above Expected,TRUE
Caracanthus maculatus,Fish,3,1.5,2,Proportional,FALSE
Caracanthus maculatus,Fish,6,1,5,Proportional,FALSE
Dascyllus aruanus,Fish,3,13,15,Proportional,FALSE
Dascyllus aruanus,Fish,6,10,30,Below Expected,TRUE
Dascyllus flavicaudus,Fish,3,5.667,7,Proportional,FALSE
Dascyllus flavicaudus,Fish,6,11.667,14,Proportional,FALSE
Halichoeres trimaculatus,Fish,3,1,1,Proportional,FALSE
Halichoeres trimaculatus,Fish,6,1.333,2,Proportional,FALSE
Paragobiodon modestus,Fish,3,8.333,9,Proportional,FALSE
Paragobiodon modestus,Fish,6,16.333,19,Proportional,FALSE
Apataxia cerithiiformis,Snail,3,7.667,3,Proportional,FALSE
Apataxia cerithiiformis,Snail,6,27,6,Proportional,FALSE
Carinomitra typha,Snail,3,1.167,0,Proportional,FALSE
Carinomitra typha,Snail,6,4,2,Proportional,FALSE
Cellana taitensis,Snail,3,0.833,1,Proportional,FALSE
Cellana taitensis,Snail,6,2,2,Proportional,FALSE
Cerithium zebrum,Snail,3,5.833,3,Proportional,FALSE
Cerithium zebrum,Snail,6,11.333,7,Proportional,FALSE
Diala albugo,Snail,3,4.833,2,Proportional,FALSE
Diala albugo,Snail,6,16,5,Proportional,FALSE
Diala semistriata,Snail,3,2.333,2,Proportional,FALSE
Diala semistriata,Snail,6,9.333,5,Proportional,FALSE
Galeropsis monodonta,Snail,3,64,47,Proportional,FALSE
Galeropsis monodonta,Snail,6,116.667,96,Proportional,FALSE
Macteola interrupta,Snail,3,1,0,Proportional,FALSE
Macteola interrupta,Snail,6,2.333,0,Proportional,FALSE
Mitrella moleculina,Snail,3,0.833,0,Proportional,FALSE
Mitrella moleculina,Snail,6,10.667,1,Above Expected,TRUE
Morula zebrina,Snail,3,0.667,0,Proportional,FALSE
Morula zebrina,Snail,6,6,1,Proportional,FALSE
Pascula muricata,Snail,3,0.5,0,Proportional,FALSE
Pascula muricata,Snail,6,7,0,Proportional,FALSE
Stomatolina rubra,Snail,3,1.667,0,Proportional,FALSE
Stomatolina rubra,Snail,6,2.667,1,Proportional,FALSE
Strigatella assimilis,Snail,3,1.167,1,Proportional,FALSE
Strigatella assimilis,Snail,6,6.667,3,Proportional,FALSE
Vexillum interruptum,Snail,3,0.833,0,Proportional,FALSE
Vexillum interruptum,Snail,6,1,1,Proportional,FALSE
Zafra hahajimana,Snail,3,0,0,Proportional,FALSE
Zafra hahajimana,Snail,6,4.333,2,Proportional,FALSE
