predictor,label,adjustment,n,n_reefs,estimate,std_error,df,t,p_value,conf_low,conf_high,singular,note,p_value_BH
asin_trap_non_serenei_prop_full_z,arcsin sqrt non-serenei Trapezia share of full CAFI,treatment_adjusted,44,23,-0.27384780190161323,0.22944908901735958,38.248469450005054,-1.1935013691899843,0.24002352036903504,-0.723568016375638,0.17587241257241154,FALSE,NA,0.5418809479760001
sqrt_trap_serenei_z,sqrt T. serenei abundance,treatment_adjusted,44,23,0.2752966028880646,0.2408157450364555,39.99999999966271,1.143183569024481,0.25975845765512584,-0.19670225738338815,0.7472954631595174,TRUE,NA,0.5418809479760001
sqrt_trap_non_serenei_z,sqrt non-serenei Trapezia abundance,treatment_adjusted,44,23,-0.24777216950739778,0.23186104422898704,39.739739114366834,-1.068623538427166,0.2916878159908513,-0.7022198161962123,0.20667547718141682,FALSE,NA,0.5418809479760001
sqrt_trap_richness_z,sqrt Trapezia richness,treatment_adjusted,44,23,-0.23110960414728032,0.23441215350818698,39.126485952303966,-0.9859113560816661,0.3302344482666534,-0.6905574250233268,0.22833821672876614,FALSE,NA,0.5418809479760001
sqrt_trap_rare_richness_z,sqrt rare Trapezia richness,treatment_adjusted,44,23,-0.22681953155888562,0.2342160161038756,39.85062634279792,-0.9684202444050213,0.338675592485,-0.6858829231224818,0.23224386000471053,FALSE,NA,0.5418809479760001
sqrt_trap_total_z,sqrt total Trapezia abundance,treatment_adjusted,44,23,0.1403254508071833,0.2445113037700545,12.511833406076768,0.5739016914291595,0.5762061316447558,-0.33891670458212353,0.6195676061964901,FALSE,NA,0.7204027186987393
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,treatment_adjusted,44,23,-0.11814914389461645,0.243428384136268,36.161341224893256,-0.48535483778456223,0.630352378861397,-0.5952687768017018,0.3589704890124688,FALSE,NA,0.7204027186987393
asin_trap_serenei_prop_full_z,arcsin sqrt T. serenei share of full CAFI,treatment_adjusted,44,23,0.005288080582799576,0.24490806451088679,37.86380740576624,0.021592104749023105,0.982886719875925,-0.4747317258585385,0.48530788702413763,FALSE,NA,0.982886719875925
asin_trap_non_serenei_prop_full_z,arcsin sqrt non-serenei Trapezia share of full CAFI,unadjusted,44,23,-0.2961188131729308,0.23016677712169026,36.4288329059557,-1.2865402073921877,0.20637088420723904,-0.7472456963314438,0.1550080699855821,FALSE,NA,0.4472267668863399
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,unadjusted,44,23,-0.27758614077959703,0.23314837921095152,37.29021377779833,-1.1905986295896076,0.24133534050820213,-0.734556964033062,0.17938468247386796,FALSE,NA,0.4472267668863399
sqrt_trap_richness_z,sqrt Trapezia richness,unadjusted,44,23,-0.27083922186993126,0.23442096584482383,38.448599073874796,-1.1553540908504518,0.2550751472633981,-0.730304314925786,0.18862587118592344,FALSE,NA,0.4472267668863399
sqrt_trap_non_serenei_z,sqrt non-serenei Trapezia abundance,unadjusted,44,23,-0.26950368396902585,0.23502359302021802,39.134894036918325,-1.1467090622933402,0.2584647518970119,-0.7301499262886532,0.19114255835060145,FALSE,NA,0.4472267668863399
sqrt_trap_rare_richness_z,sqrt rare Trapezia richness,unadjusted,44,23,-0.25939233073578066,0.23657440285289527,39.52677998491537,-1.0964513810780867,0.27951672930396243,-0.7230781603274554,0.20429349885589404,FALSE,NA,0.4472267668863399
asin_trap_serenei_prop_full_z,arcsin sqrt T. serenei share of full CAFI,unadjusted,44,23,-0.1778570599023109,0.23515028179250838,37.66058567035964,-0.7563548661159939,0.45414205601500335,-0.6387516122156274,0.2830374924110055,FALSE,NA,0.6055227413533377
sqrt_trap_total_z,sqrt total Trapezia abundance,unadjusted,44,23,-0.1313625413171097,0.2629496318124158,41.75989400461594,-0.49957301864876424,0.6199978329505303,-0.6467438196694447,0.3840187370352254,FALSE,NA,0.7085689519434633
sqrt_trap_serenei_z,sqrt T. serenei abundance,unadjusted,44,23,-0.012435275881252874,0.26113573177848837,41.999647421594986,-0.047619970643470774,0.9622448410660164,-0.5242613101670901,0.4993907584045843,FALSE,NA,0.9622448410660164
