coral_id,reef,treatment,treatment_num,growth_vol_b,protein_mg_cm2,carb_mg_cm2,zoox_cells_cm2,afdw_mg_cm2,cond_PC1,cond_PC2
POC101,Reef_3-5,6,6,15.67707228328914,0.5360547,0.079654,332964.6317,8.222938695,-1.5942875195958772,0.1070648065293354
POC102,Reef_3-5,6,6,15.127226908185117,0.6279548,0.1036614,636461.9208,14.65122738,0.432381568845078,1.056608400563249
POC103,Reef_3-5,6,6,21.21479285770365,0.6502276,0.0931105,389105.8137,9.276694896,-0.6632346434284968,-0.660210643509591
POC105,Reef_3-5,6,6,19.933646547719203,0.7433246,0.1287731,1001786.998,14.1336376,1.8524586674535863,0.8940374211874237
POC106,Reef_3-5,6,6,14.263226734174047,0.4254004,0.0691377,516499.572,17.93514262,-0.5059448271146398,1.4878701953089677
POC107,Reef_3-6,1,1,18.10356982252732,0.692186,0.1110745,360957.7564,9.444299777,-0.35301341702347677,-0.3662511316490566
POC108,Reef_3-7,1,1,27.7082587824135,0.6463628,0.1120249,516265.897,11.03340013,0.2503378446517334,-1.226627011376655
POC109,Reef_3-8,3,3,24.268075983160124,0.5548307,0.0760103,396623.3003,12.46214715,-0.7014238058009118,-0.6992978793388047
POC111,Reef_3-8,3,3,15.932072014160983,0.5328653,0.1123357,1055882.897,16.52210544,1.280719544998809,2.0318168843596496
POC112,Reef_3-9,3,3,27.885321024420023,0.662691,0.0948703,375278.0717,11.34840889,-0.17346038364254887,-1.5034007221792665
POC113,Reef_3-9,3,3,40.01191140899918,0.9321642,0.1221,214058.9174,15.20490248,1.6107842541260882,-3.683868643751181
POC61,Reef_1-1,1,1,24.534191481553833,1.1183599,0.1478977,723655.6064,14.86427732,3.003601548722197,-0.8015683597332052
POC62,Reef_1-2,6,6,21.895854244022757,0.5623249,0.0735019,497743.181,10.20462722,-0.9120970268466564,-0.31422718420004603
POC63,Reef_1-2,6,6,11.0222137488255,0.2644726,0.0421762,389318.9866,5.118823712,-3.4385565901162627,1.1042399599542765
POC64,Reef_1-2,6,6,15.867488297021776,0.6645941,0.0889732,377788.2609,12.08352905,-0.46575357162917286,0.23835235541407915
POC65,Reef_1-2,6,6,13.088132756081547,0.5444864,0.0673899,361301.2076,11.8975941,-1.2918085403158295,0.784283634673426
POC67,Reef_1-2,6,6,16.824274005310183,0.6043222,0.0815853,754941.2428,14.84040976,0.27492698794134596,1.153486867295762
POC69,Reef_1-4,3,3,21.389818913750133,0.7705997,0.1148093,718246.6874,10.02973635,0.7078047742337555,-0.16565068181345938
POC70,Reef_1-4,3,3,22.92067582815279,0.6918504,0.0925563,811028.1809,14.30133663,0.8873310200184121,0.24336126139965436
POC71,Reef_1-4,3,3,18.53119930091072,0.8212185,0.1292409,676869.5211,15.61661392,1.699134498490881,0.41946122799096996
POC72,Reef_1-5,1,1,14.439131233346524,0.7755355,0.1215349,612678.741,15.01313134,1.1457392987643658,0.8960429110524125
POC73,Reef_1-6,3,3,15.37715273106949,0.5287927,0.0818916,416101.1556,10.94303765,-1.0793376286918166,0.5030705873008263
POC74,Reef_1-6,3,3,14.98781648455428,0.4713357,0.0718956,472613.0155,9.142050995,-1.5660223927482284,0.6512557718551495
POC75,Reef_1-6,3,3,19.438981361922952,0.7325839,0.2049856,681050.1838,18.04639306,3.026418738192855,0.4131391527475481
POC76,Reef_1-7,1,1,24.702037094785815,0.4833094,0.0827125,918220.7121,12.33981334,0.08025084863040488,0.3789597571878691
POC77,Reef_1-8,1,1,20.14868818644364,0.814832,0.1121007,561042.4508,17.65586041,1.5204413345611567,0.13641698772313893
POC78,Reef_1-9,1,1,20.295362955346217,0.5564106,0.0856145,411383.3879,8.711648214,-1.1212992808467934,-0.3845068902241017
POC80,Reef_2-2,1,1,29.801067736988728,0.8734997,0.1533036,495755.2214,13.56571573,1.9450836284703055,-1.7805084750750906
POC81,Reef_2-3,1,1,11.731555165429182,0.8952526,0.1474854,1161243.354,14.28594636,2.6849877029910347,2.1363709587280755
POC82,Reef_2-4,3,3,16.822666808171757,0.6025569,0.0884221,189243.7864,11.08389215,-1.087645791087328,-0.2645604063664709
POC84,Reef_2-4,3,3,20.74619974387526,0.7697169,0.1091949,493874.8985,18.41325489,1.3438323602694389,0.03071206494707786
POC86,Reef_2-6,6,6,25.806097901307968,0.5607609,0.0823803,277027.7869,7.356754506,-1.4320733246172346,-1.516934992538569
POC87,Reef_2-6,6,6,17.584057807565173,0.5985632,0.0731928,315797.1723,7.516564555,-1.591869928368124,-0.30863751528976535
POC88,Reef_2-6,6,6,20.6970454877524,0.485246,0.0707067,494853.9094,7.219923203,-1.6203043460671906,-0.24260390727845493
POC89,Reef_2-6,6,6,20.777418361690753,0.5934985,0.0886894,526670.9001,9.688757124,-0.6227445782889127,-0.20655668170227517
POC91,Reef_2-6,6,6,14.76749532572548,0.3883775,0.0629801,266215.3996,7.623911834,-2.5150450711291934,0.2872357919662573
POC92,Reef_2-7,1,1,19.066670954324763,0.6954445,0.1104551,479680.2558,8.931977178,-0.1959064469054011,-0.29433490760573894
POC93,Reef_2-8,1,1,23.068487630858566,1.0103245,0.2111618,892017.2949,13.36258404,3.7615609655813214,-0.34706215001526064
POC94,Reef_2-9,3,3,32.81469451999547,0.4382376,0.0744488,421739.2254,9.342194089,-1.2283295750451628,-1.8908468219264447
POC95,Reef_2-9,3,3,27.52105509497454,0.4944889,0.0829293,784021.1355,9.383560047,-0.4380661363007709,-0.49930285632354926
POC96,Reef_2-9,3,3,16.645286823509323,0.5315774,0.0933735,479172.4542,17.06780433,0.07894494919079104,0.8302834817806751
POC97,Reef_3-1,1,1,17.406972458517288,0.1752452,0.0400016,425787.4612,6.28596752,-3.3539820144546244,0.4858489366257956
POC98,Reef_3-2,1,1,14.55399735891645,0.6542669,0.1092679,620916.6976,15.68631657,0.6987624535967869,1.1264612219205166
POC99,Reef_3-3,1,1,15.8135043755935,0.7806684,0.1001509,279473.7977,10.44542488,-0.3332961496657183,-0.23942277661513117
