predictor,label,trait,method,n,estimate,p_value,note,p_value_BH
sqrt_trap_serenei_z,sqrt T. serenei abundance,zoox_cells_cm2,spearman,44,0.3815695874929249,0.010597786520182057,NA,0.5086937529687388
sqrt_trapezia_serenei_z,Trapezia serenei sqrt abundance,zoox_cells_cm2,spearman,44,0.3815695874929249,0.010597786520182057,NA,0.5086937529687388
sqrt_trap_serenei_z,sqrt T. serenei abundance,zoox_cells_cm2,pearson,44,0.3367775755931442,0.02539337674030911,NA,0.7988413985971171
sqrt_trapezia_serenei_z,Trapezia serenei sqrt abundance,zoox_cells_cm2,pearson,44,0.3367775755931442,0.02539337674030911,NA,0.7988413985971171
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,carb_mg_cm2,spearman,44,-0.3324052915042837,0.02748499153270972,NA,0.6516916779468404
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,protein_mg_cm2,spearman,44,-0.2957533085563983,0.0512740259503897,NA,0.6516916779468404
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,growth_vol_b,pearson,44,-0.2774333873183579,0.06826065298727525,NA,0.7988413985971171
sqrt_trapezia_tigrina_z,Trapezia tigrina sqrt abundance,zoox_cells_cm2,pearson,44,-0.2770963291888214,0.06861050757576834,NA,0.7988413985971171
sqrt_trapezia_punctimanus_z,Trapezia punctimanus sqrt abundance,growth_vol_b,spearman,44,-0.27312286609012837,0.07284276855703867,NA,0.6516916779468404
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,cond_PC1,spearman,44,-0.2727753346313779,0.07322251286697669,NA,0.6516916779468404
sqrt_trapezia_tigrina_z,Trapezia tigrina sqrt abundance,zoox_cells_cm2,spearman,44,-0.268819592785801,0.07765576605560355,NA,0.6516916779468404
asin_trap_serenei_prop_full_z,arcsin sqrt T. serenei share of full CAFI,carb_mg_cm2,spearman,44,-0.263955457936867,0.08339279668077693,NA,0.6516916779468404
asin_trap_serenei_prop_full_z,arcsin sqrt T. serenei share of full CAFI,protein_mg_cm2,spearman,44,-0.2623343696771746,0.08537658589574366,NA,0.6516916779468404
asin_trap_serenei_prop_full_z,arcsin sqrt T. serenei share of full CAFI,growth_vol_b,pearson,44,-0.26019421297527723,0.08805165887946721,NA,0.7988413985971171
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,growth_vol_b,spearman,44,-0.2571982418785266,0.09190530929040977,NA,0.6516916779468404
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,carb_mg_cm2,pearson,44,-0.24668425895675639,0.10646911293420887,NA,0.7988413985971171
asin_trap_serenei_prop_full_z,arcsin sqrt T. serenei share of full CAFI,growth_vol_b,spearman,44,-0.24126022230117375,0.1146406341454445,NA,0.6516916779468404
sqrt_trapezia_bidentata_z,Trapezia bidentata sqrt abundance,cond_PC1,pearson,44,-0.23538290638559642,0.1240226241758771,NA,0.7988413985971171
