metric,treatment,n_reefs,mean,sd,median,q25,q75
trap_density_per_colony,1,18,5.388888888888889,2.0902825277343813,5,4,6.75
trap_density_per_colony,3,6,6.888888888888888,1.5869840952317444,6.333333333333333,6.083333333333333,8.083333333333334
trap_density_per_colony,6,3,7.611111111111111,3.074687578227047,6.833333333333333,5.916666666666666,8.916666666666666
trap_non_serenei_density_per_colony,1,18,0.7222222222222221,1.127493605332358,0,0,1
trap_non_serenei_density_per_colony,3,6,0.7222222222222222,0.44305337860837524,0.6666666666666666,0.6666666666666666,0.9166666666666666
trap_non_serenei_density_per_colony,6,3,1,0.44095855184409843,0.8333333333333334,0.75,1.1666666666666667
trap_non_serenei_incidence_rate,1,18,0.38888888888888895,0.5016313257045503,0,0,1
trap_non_serenei_incidence_rate,3,6,0.38888888888888884,0.25092421756969363,0.3333333333333333,0.3333333333333333,0.5833333333333334
trap_non_serenei_incidence_rate,6,3,0.5,0.2886751345948129,0.3333333333333333,0.3333333333333333,0.5833333333333334
trap_non_serenei_prop_full_reef,1,18,0.005794548461500044,0.007836097329993229,0,0,0.012734271716307644
trap_non_serenei_prop_full_reef,3,6,0.007528343435270218,0.005497071320053103,0.006465170527670528,0.0047503591954022985,0.011713110626154103
trap_non_serenei_prop_full_reef,6,3,0.009928889627359194,0.0014343442434031064,0.009174311926605505,0.009101828649533,0.010378661754808543
trap_prop_full_reef,1,18,0.05434211456261288,0.022720623026166037,0.05220445736434109,0.03772196985339665,0.058116883116883115
trap_prop_full_reef,3,6,0.0700778276947662,0.022385287671464534,0.06570601560533601,0.0582929067785499,0.06945931854690979
trap_prop_full_reef,6,3,0.07596384434456793,0.008634458742996317,0.07522935779816514,0.07147472404580943,0.08008572137012504
trap_rare_richness_reef,1,18,0.5555555555555556,0.7838233761296739,0,0,1
trap_rare_richness_reef,3,6,1.3333333333333333,0.816496580927726,1.5,1,2
trap_rare_richness_reef,6,3,3.3333333333333335,1.5275252316519468,3,2.5,4
trap_richness_reef,1,18,1.5555555555555556,0.7838233761296739,1,1,2
trap_richness_reef,3,6,2.3333333333333335,0.816496580927726,2.5,2,3
trap_richness_reef,6,3,4.333333333333333,1.5275252316519468,4,3.5,5
trap_serenei_density_per_colony,1,18,4.666666666666667,1.4552137502179978,5,4,5
trap_serenei_density_per_colony,3,6,6.166666666666667,1.4567848922274775,5.5,5.083333333333333,7.166666666666667
trap_serenei_density_per_colony,6,3,6.611111111111111,2.6369876191790707,6,5.166666666666666,7.75
trap_serenei_prop_full_reef,1,18,0.048547566101112834,0.0210206089060979,0.04367561794324077,0.03213753855972769,0.05356137387387388
trap_serenei_prop_full_reef,3,6,0.06254948425949598,0.019258100752636575,0.05725274245006774,0.05531694929366379,0.060699862424000356
trap_serenei_prop_full_reef,6,3,0.06603495471720874,0.007334184858095,0.06605504587155964,0.06237289539627643,0.06970705961531651
trap_total_reef,1,18,5.388888888888889,2.0902825277343813,5,4,6.75
trap_total_reef,3,6,20.666666666666668,4.760952285695233,19,18.25,24.25
trap_total_reef,6,3,45.666666666666664,18.44812546936228,41,35.5,53.5
