reef,treatment,trap_count_trapezia_areolata,trap_count_trapezia_bella,trap_count_trapezia_bidentata,trap_count_trapezia_guttata,trap_count_trapezia_punctimanus,trap_count_trapezia_serenei,trap_count_trapezia_speciosa,trap_count_trapezia_tigrina,n_colonies,trap_incidence_rate,trap_non_serenei_incidence_rate,full_total_abundance_reef,full_richness_reef,treatment_num,trap_total_reef,trap_serenei_reef,trap_non_serenei_reef,trap_density_per_colony,trap_serenei_density_per_colony,trap_non_serenei_density_per_colony,trap_richness_reef,trap_rare_richness_reef,trap_shannon_reef,trap_evenness_reef,trap_prop_full_reef,trap_serenei_prop_full_reef,trap_non_serenei_prop_full_reef
Reef_1-1,1,0,0,0,0,0,5,0,0,1,1,0,158,26,1,5,5,0,5,5,0,1,0,0,0,0.03164556962025317,0.03164556962025317,0
Reef_1-2,6,1,0,1,3,0,36,0,0,6,1,0.3333333333333333,545,56,6,41,36,5,6.833333333333333,6,0.8333333333333334,4,3,0.48668136791347144,0.35106639799091116,0.07522935779816514,0.06605504587155964,0.009174311926605505
Reef_1-3,1,0,0,1,0,0,7,0,1,1,1,1,154,30,1,9,7,2,9,7,2,3,2,0.6837389058487535,0.6223659728744494,0.05844155844155844,0.045454545454545456,0.012987012987012988
Reef_1-4,3,0,0,0,0,0,15,0,0,3,1,0,263,35,3,15,15,0,5,5,0,1,0,0,0,0.057034220532319393,0.057034220532319393,0
Reef_1-5,1,0,0,0,0,0,5,0,0,1,1,0,100,16,1,5,5,0,5,5,0,1,0,0,0,0.05,0.05,0
Reef_1-6,3,0,0,1,0,0,16,1,0,3,1,0.6666666666666666,259,32,3,18,16,2,6,5.333333333333333,0.6666666666666666,3,2,0.42584844923858145,0.3876239630951644,0.0694980694980695,0.06177606177606178,0.007722007722007722
Reef_1-7,1,0,0,1,0,0,8,0,0,1,1,1,87,35,1,9,8,1,9,8,1,2,1,0.34883209584303193,0.5032583347756457,0.10344827586206896,0.09195402298850575,0.011494252873563218
Reef_1-8,1,1,0,0,0,0,5,0,1,1,1,1,132,22,1,7,5,2,7,5,2,3,2,0.7963116401738131,0.72483409150576,0.05303030303030303,0.03787878787878788,0.015151515151515152
Reef_1-9,1,0,0,0,2,0,5,0,2,1,1,1,172,23,1,9,5,4,9,5,4,3,2,0.9950269901795212,0.9057125980138371,0.05232558139534884,0.029069767441860465,0.023255813953488372
Reef_2-1,1,0,0,0,0,0,5,0,0,1,1,0,116,24,1,5,5,0,5,5,0,1,0,0,0,0.04310344827586207,0.04310344827586207,0
Reef_2-2,1,0,0,0,0,0,5,0,0,1,1,0,76,16,1,5,5,0,5,5,0,1,0,0,0,0.06578947368421052,0.06578947368421052,0
Reef_2-3,1,0,0,0,0,1,6,0,0,1,1,1,66,21,1,7,6,1,7,6,1,2,1,0.410116318288409,0.5916727785823274,0.10606060606060606,0.09090909090909091,0.015151515151515152
Reef_2-4,3,0,0,0,2,1,23,0,0,3,1,0.3333333333333333,230,50,3,26,23,3,8.666666666666666,7.666666666666667,1,3,2,0.431071102348777,0.392377826823129,0.11304347826086956,0.1,0.013043478260869565
Reef_2-5,1,0,0,0,0,0,3,0,0,1,1,0,97,28,1,3,3,0,3,3,0,1,0,0,0,0.030927835051546393,0.030927835051546393,0
Reef_2-6,6,1,0,0,0,0,26,0,3,6,1,0.3333333333333333,443,56,6,30,26,4,5,4.333333333333333,0.6666666666666666,3,2,0.4676524865100599,0.4256756376510344,0.06772009029345373,0.05869074492099323,0.009029345372460496
Reef_2-7,1,0,0,0,0,0,5,0,0,1,1,0,96,15,1,5,5,0,5,5,0,1,0,0,0,0.052083333333333336,0.052083333333333336,0
Reef_2-8,1,0,0,0,0,0,4,0,0,1,1,0,119,15,1,4,4,0,4,4,0,1,0,0,0,0.03361344537815126,0.03361344537815126,0
Reef_2-9,3,0,0,0,0,0,17,0,2,3,1,0.3333333333333333,384,33,3,19,17,2,6.333333333333333,5.666666666666667,0.6666666666666666,2,1,0.336495757583516,0.4854607607459134,0.049479166666666664,0.044270833333333336,0.005208333333333333
Reef_3-1,1,0,0,1,0,0,3,0,0,1,1,1,70,18,1,4,3,1,4,3,1,2,1,0.5623351446188083,0.8112781244591328,0.05714285714285714,0.04285714285714286,0.014285714285714285
Reef_3-2,1,0,0,0,0,0,5,0,0,1,1,0,113,14,1,5,5,0,5,5,0,1,0,0,0,0.04424778761061947,0.04424778761061947,0
Reef_3-3,1,0,0,2,0,0,4,0,0,1,1,1,167,19,1,6,4,2,6,4,2,2,1,0.6365141682948128,0.9182958340544894,0.03592814371257485,0.023952095808383235,0.011976047904191617
Reef_3-4,1,0,0,0,0,0,2,0,0,1,1,0,25,9,1,2,2,0,2,2,0,1,0,0,0,0.08,0.08,0
Reef_3-5,6,1,1,0,1,3,57,0,3,6,1,0.8333333333333334,777,61,6,66,57,9,11,9.5,1.5,6,5,0.5980548026540313,0.333780740621224,0.08494208494208494,0.07335907335907337,0.011583011583011582
Reef_3-6,1,0,0,0,0,0,4,0,0,1,1,0,74,18,1,4,4,0,4,4,0,1,0,0,0,0.05405405405405406,0.05405405405405406,0
Reef_3-7,1,0,0,0,0,0,3,0,0,1,1,0,114,19,1,3,3,0,3,3,0,1,0,0,0,0.02631578947368421,0.02631578947368421,0
Reef_3-8,3,0,0,0,2,0,25,0,0,3,1,0.3333333333333333,435,42,3,27,25,2,9,8.333333333333334,0.6666666666666666,2,1,0.2640520518256287,0.3809465857053901,0.06206896551724138,0.05747126436781609,0.004597701149425287
Reef_3-9,3,0,0,0,2,0,15,0,2,3,1,0.6666666666666666,274,38,3,19,15,4,6.333333333333333,5,1.3333333333333333,3,2,0.6605788876520756,0.6012848158224418,0.06934306569343066,0.05474452554744526,0.014598540145985401
