species,treatment,n_corals,total_count,mean_per_coral,sd_per_coral,median_per_coral,n_present,prevalence
Trapezia areolata,1,18,1,0.05555555555555554,0.23570226039551584,0,1,0.05555555555555555
Trapezia areolata,3,18,0,0,0,0,0,0
Trapezia areolata,6,18,3,0.16666666666666669,0.38348249442368515,0,3,0.16666666666666666
Trapezia bella,1,18,0,0,0,0,0,0
Trapezia bella,3,18,0,0,0,0,0,0
Trapezia bella,6,18,1,0.05555555555555554,0.23570226039551584,0,1,0.05555555555555555
Trapezia bidentata,1,18,5,0.2777777777777778,0.5745131499601417,0,4,0.2222222222222222
Trapezia bidentata,3,18,1,0.05555555555555554,0.23570226039551584,0,1,0.05555555555555555
Trapezia bidentata,6,18,1,0.05555555555555554,0.23570226039551584,0,1,0.05555555555555555
Trapezia guttata,1,18,2,0.11111111111111108,0.4714045207910317,0,1,0.05555555555555555
Trapezia guttata,3,18,6,0.33333333333333337,0.7669649888473702,0,3,0.16666666666666666
Trapezia guttata,6,18,4,0.22222222222222215,0.7320844981409595,0,2,0.1111111111111111
Trapezia punctimanus,1,18,1,0.05555555555555554,0.23570226039551584,0,1,0.05555555555555555
Trapezia punctimanus,3,18,1,0.05555555555555554,0.23570226039551584,0,1,0.05555555555555555
Trapezia punctimanus,6,18,3,0.16666666666666666,0.7071067811865479,0,1,0.05555555555555555
Trapezia serenei,1,18,84,4.666666666666667,1.455213750217998,5,18,1
Trapezia serenei,3,18,111,6.166666666666667,3.3998269852173015,5,18,1
Trapezia serenei,6,18,119,6.611111111111111,3.8826747737471927,5,18,1
Trapezia speciosa,1,18,0,0,0,0,0,0
Trapezia speciosa,3,18,1,0.05555555555555554,0.23570226039551584,0,1,0.05555555555555555
Trapezia speciosa,6,18,0,0,0,0,0,0
Trapezia tigrina,1,18,4,0.22222222222222218,0.5483188805533163,0,3,0.16666666666666666
Trapezia tigrina,3,18,4,0.22222222222222215,0.6467616667635547,0,2,0.1111111111111111
Trapezia tigrina,6,18,6,0.33333333333333337,0.5940885257860045,0,5,0.2777777777777778
