predictor,adjustment,n,n_reefs,estimate,std_error,df,t,p_value,conf_low,conf_high,singular,note,species,predictor_type,p_value_BH
incidence_trapezia_bidentata,treatment_adjusted,44,23,-1.669457823971175,0.68732552111152,39.98498975732382,-2.4289187185591237,0.019732644580716604,-3.0166158453497545,-0.32229980259259583,FALSE,NA,Trapezia bidentata,incidence,0.05919793374214981
incidence_trapezia_areolata,treatment_adjusted,44,23,1.0276477572801725,0.7940470326312349,28.41835492020887,1.294190035412455,0.2060185871062673,-0.5286844266770478,2.583979941237393,FALSE,NA,Trapezia areolata,incidence,0.30902788065940096
incidence_trapezia_tigrina,treatment_adjusted,44,23,-0.06594391588393733,0.583796453388325,39.83326404439709,-0.11295703408474339,0.9106319857451627,-1.2101849645250544,1.0782971327571795,FALSE,NA,Trapezia tigrina,incidence,0.9106319857451627
incidence_trapezia_bella,treatment_adjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia bella,incidence,NA
incidence_trapezia_guttata,treatment_adjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia guttata,incidence,NA
incidence_trapezia_punctimanus,treatment_adjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia punctimanus,incidence,NA
incidence_trapezia_serenei,treatment_adjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia serenei,incidence,NA
incidence_trapezia_speciosa,treatment_adjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia speciosa,incidence,NA
sqrt_trapezia_bidentata_z,treatment_adjusted,44,23,-0.5230238760654454,0.2227358168846619,39.93492054904164,-2.348180384191556,0.023905233309650234,-0.9595860771593827,-0.08646167497150808,FALSE,NA,Trapezia bidentata,sqrt abundance z,0.19124186647720187
sqrt_trapezia_areolata_z,treatment_adjusted,44,23,0.2988434242601425,0.23091154782737572,28.418354921116745,1.2941900354136948,0.2060185871055152,-0.15374320948151393,0.751430058001799,FALSE,NA,Trapezia areolata,sqrt abundance z,0.5195169153102517
sqrt_trapezia_guttata_z,treatment_adjusted,44,23,-0.29491819889260207,0.23324413673102384,37.875208349777964,-1.2644184888244394,0.21380556511158616,-0.7520767068854088,0.16224030910020465,FALSE,NA,Trapezia guttata,sqrt abundance z,0.5195169153102517
sqrt_trapezia_serenei_z,treatment_adjusted,44,23,0.2752966028880646,0.2408157450364555,39.99999999966271,1.143183569024481,0.25975845765512584,-0.19670225738338815,0.7472954631595174,TRUE,NA,Trapezia serenei,sqrt abundance z,0.5195169153102517
sqrt_trapezia_speciosa_z,treatment_adjusted,44,23,-0.23006883745784562,0.2319587554779013,38.12184767988552,-0.9918523531644153,0.32752368624114536,-0.6847079981945321,0.2245703232788409,FALSE,NA,Trapezia speciosa,sqrt abundance z,0.5240378979858326
sqrt_trapezia_bella_z,treatment_adjusted,44,23,-0.17989892519118375,0.22815102272274643,27.63644134691381,-0.788508081376433,0.43711154587825884,-0.6270749297277668,0.26727707934539924,FALSE,NA,Trapezia bella,sqrt abundance z,0.582815394504345
sqrt_trapezia_punctimanus_z,treatment_adjusted,44,23,0.04683343350817188,0.2331549221466909,38.50866520964168,0.20086830283045162,0.8418587417173957,-0.41015021389934225,0.503817080915686,FALSE,NA,Trapezia punctimanus,sqrt abundance z,0.8572326406611106
sqrt_trapezia_tigrina_z,treatment_adjusted,44,23,-0.042501982283231016,0.234736144895507,39.99939643172491,-0.1810627941519224,0.8572326406611106,-0.5025848262784247,0.41758086171196274,FALSE,NA,Trapezia tigrina,sqrt abundance z,0.8572326406611106
incidence_trapezia_bidentata,unadjusted,44,23,-1.3009400333227386,0.7243944690448891,41.74744148824284,-1.7959000087866797,0.07975021436928756,-2.7207531926507214,0.11887312600524402,FALSE,NA,Trapezia bidentata,incidence,0.23925064310786268
incidence_trapezia_areolata,unadjusted,44,23,0.7986951971883485,0.7578368276868438,30.05360826318975,1.05391446813982,0.3003218288024796,-0.6866649850778654,2.2840553794545624,FALSE,NA,Trapezia areolata,incidence,0.4504827432037194
incidence_trapezia_tigrina,unadjusted,44,23,-0.2982464728357682,0.591421423995699,38.963346029085706,-0.5042875701404033,0.6168992786658347,-1.4574324638673382,0.8609395181958018,FALSE,NA,Trapezia tigrina,incidence,0.6168992786658347
