species_1,species_2,abundance_spearman_rho,abundance_spearman_p,incidence_spearman_rho,incidence_spearman_p,cooccurrence_n,species_1_present_n,species_2_present_n,abundance_spearman_p_BH,incidence_spearman_p_BH
Trapezia punctimanus,Trapezia serenei,0.32063300086008517,0.018087971331849955,NA,NA,3,3,54,0.2713195699777493,NA
Trapezia areolata,Trapezia tigrina,0.20124611797498104,0.1445035154077033,0.22922795323750228,0.09544622356817523,2,4,10,0.8205413344293966,0.7679314595410971
Trapezia serenei,Trapezia tigrina,0.1761438013403409,0.20263184206190157,NA,NA,10,54,10,0.8205413344293966,NA
Trapezia guttata,Trapezia punctimanus,0.16640693955281302,0.22911953593310044,0.17149858514250882,0.21498476487161902,1,6,3,0.8205413344293966,0.7679314595410971
Trapezia bidentata,Trapezia guttata,-0.12467934837213776,0.3690382802498581,-0.125,0.3677985034223259,0,6,6,0.8205413344293966,0.7679314595410971
Trapezia areolata,Trapezia bidentata,0.12071695717868852,0.38456603679553625,0.125,0.3677985034223259,1,4,6,0.8205413344293966,0.7679314595410971
Trapezia areolata,Trapezia guttata,-0.09983963554901779,0.47257283471856393,-0.1,0.47185830933364814,0,4,6,0.8205413344293966,0.7679314595410971
Trapezia bidentata,Trapezia serenei,-0.08815433113990352,0.526160746237292,NA,NA,6,6,54,0.8205413344293966,NA
Trapezia bidentata,Trapezia punctimanus,-0.08563561696060865,0.5380933980296361,-0.08574929257125441,0.5375520216787679,0,6,3,0.8205413344293966,0.7679314595410971
Trapezia punctimanus,Trapezia tigrina,0.08376761537096489,0.5470275562862644,0.09249945801257607,0.5058886835939169,1,3,10,0.8205413344293966,0.7679314595410971
Trapezia areolata,Trapezia punctimanus,-0.06857453859835135,0.6222193077815457,-0.06859943405700353,0.622092607202278,0,4,3,0.8484808742475622,0.7776157590028475
Trapezia guttata,Trapezia serenei,-0.03650579732078245,0.7932659010630441,NA,NA,6,6,54,0.9538243546348254,NA
Trapezia bidentata,Trapezia tigrina,-0.030509478955977488,0.8266477740168487,-0.016854996561581057,0.9037157387758628,1,6,10,0.9538243546348254,0.9037157387758628
Trapezia areolata,Trapezia serenei,-0.013855995918605814,0.9207868599970002,NA,NA,4,4,54,0.9865573499967859,NA
Trapezia guttata,Trapezia tigrina,0,1,-0.016854996561581057,0.9037157387758628,1,6,10,1,0.9037157387758628
