coral_id,position,treatment,branch_width,size_class,length_june,width_june,height_june,volume_est_june,percent_alive_dec,length_dec,width_dec,height_dec,volume_est_dec,length_may21,width_may21,height_may21,percent_alive_may21,protein_mg_cm2,carb_mg_cm2,zoox_cells_cm2,afdw_mg_cm2,surface_area_cm2_dec2019,height_mean_cm_dec2019,volume_cm3_dec2019,extent_volume_cm3_dec2019,surface_area_cm2_may2021,height_mean_cm_may2021,volume_cm3_may2021,extent_volume_cm3_may2021,cafi_abundance,cafi_richness,fish_abundance,fish_richness
FE-POC57,1-1,CAFI,wide,38,44,30,31,21425.6619,80,38,28,26,14484.83653,46,30,29,100,0.006211840232455589,9.88607116746685e-4,7996.753647554206,0.08841795456980006,7118.84167,29.73336705,11914.26813,44482.90351,9813.414766,33.47943866,15891.28657,60352.61837,335,29,143,2
FE-POC04,1-2,CAFI,wide,29,28,20,20,5864.306287,97,26,18,20,4900.88454,32,26,15,100,0.00568418887505597,0.002162872926401735,7501.54985075198,0.0807672288321504,2665.978381,21.10679122,2490.942503,13502.84791,4820.036996,24.26535909,5790.364269,24097.8284,112,23,51,6
FE-POC29,1-3,empty,tight,41,38,29,25,14425.14627,90,35,33,28,16933.1844,43,32,29,10,0.006300108627770025,8.309741092021e-4,7187.14804093166,0.08677020297493801,5220.104699,29.18832242,12063.4312,37812.20198,7342.270204,31.65283507,17036.90771,52916.80639,334,32,396,1
FE-POC43,1-4,CAFI,wide,14,15,15,15,1767.145868,99,17,16,14,1993.864137,17,16,15,100,0.007822831671593505,0.00121541014656681,7833.74933350005,0.13484203343560708,686.7263003,15.07584132,627.1420612,4068.88579,1088.6200920000001,17.71154279,1079.343229,5312.064444,64,22,5,1
FE-POC23,1-5,CAFI,wide,20,17,15,13,1735.729941,98,17,15,14,1869.247629,22,51,18,100,0.00264418552245208,7.25635512996185e-4,4916.78463266314,0.13223307640595935,969.6157682,13.0376053,1020.224862,3636.229951,1606.170704,17.39441098,1731.180214,6919.338144,228,22,11,1
FE-POC01,1-6,empty,wide,44,44,43,42,41607.2531,70,48,46,40,46244.24386,53,46,42,85,0.00491246395350758,8.787848385275249e-4,5326.57332364988,0.10373936168069911,9872.90356,39.71878409,10159.60507,98297.92098,11295.81476,41.86434462,15165.99746,109950.9678,192,26,78,1
FE-POC09,1-7,empty,tight,26,28,22,17,5483.126378,100,26,22,16,4791.975994,30,27,18,100,0.00486046723275336,6.5273812768295e-4,2826.50463878411,0.1299111281364645,2055.139247,16.43617252,4306.595189,11219.67071,2615.411396,16.8698641,4687.379413,13059.41821,247,28,298,1
FE-POC37,1-8,CAFI,wide,44,45,35,30,24740.04215,95,40,31,31,20127.13693,48,40,31,100,0.006101208621911795,0.002559304433189115,9272.35200448678,0.09264567433684276,8006.464095,39.10878059,8809.579698,57717.48506,10795.83218,40.77177246,15612.9786,80896.4296,316,29,53,2
FE-POC30,1-9,empty,wide,20,20,18,12,2261.946711,95,19,18,13,2327.920156,25,22,16,100,0.00425533668888129,6.42581267468735e-4,3723.861820784635,0.0871061237915271,NA,NA,NA,NA,1982.169194,16.17371253,1958.879404,8630.332949,71,14,40,1
FE-POC48,1-10,empty,wide,32,33,24,19,7879.114375,90,30,23,20,7225.663103,41,31,26,100,0.00553023550943932,8.39076762425735e-4,5855.88019043643,0.1009593046237682,4110.568287,25.21887532,3622.187878,21846.62888,5927.273272,29.57746104,6396.440189,35485.34905,216,33,76,1
