species,treatment,observed_mean,observed_sd,n,lower_obs,upper_obs,expected_median_3,expected_lower_3,expected_upper_3,expected_median_6,expected_lower_6,expected_upper_6,expected_median,expected_lower,expected_upper,direction,diff,sig
Alpheus lottini,3,6.833333333333333,3.3115957885386114,6,4.183504827352028,9.483161839314638,5,0,11,10,3,18,5,0,11,Proportional,1.833333333333333,FALSE
Alpheus lottini,6,13,2.6457513110645907,3,10.006050545962184,15.993949454037816,5,0,11,10,3,18,10,3,18,Proportional,3,FALSE
Apataxia cerithiiformis,3,7.666666666666666,12.044362443345296,6,-1.9708304726901655,17.304163806023496,3,0,8,6,1,13,3,0,8,Proportional,4.666666666666666,FALSE
Apataxia cerithiiformis,6,27,13.45362404707371,3,11.775791208298102,42.2242087917019,3,0,8,6,1,13,6,1,13,Proportional,21,FALSE
Athanas djiboutensis,3,6.666666666666667,5.501514942874069,6,2.264537888702785,11.068795444630549,3,0,16,10,0,26,3,0,16,Proportional,3.666666666666667,FALSE
Athanas djiboutensis,6,14.666666666666666,7.571877794400365,3,6.0982803282453855,23.23505300508795,3,0,16,10,0,26,10,0,26,Proportional,4.666666666666666,FALSE
Calcinus latens,3,16,7.536577472566709,6,9.969482056517311,22.03051794348269,9,2,21,19,7,36,9,2,21,Proportional,7,FALSE
Calcinus latens,6,23,24.269322199023193,3,-4.46332342112537,50.46332342112537,9,2,21,19,7,36,19,7,36,Proportional,4,FALSE
Caracanthus maculatus,3,1.5,1.0488088481701516,6,0.6607781381938781,2.339221861806122,2,0,6,5,1,10,2,0,6,Proportional,-0.5,FALSE
Caracanthus maculatus,6,1,1.7320508075688772,3,-0.96,2.96,2,0,6,5,1,10,5,1,10,Proportional,-4,FALSE
Carinomitra typha,3,1.1666666666666667,0.752772652709081,6,0.5643230954568648,1.7690102378764687,0,0,5,2,0,7,0,0,5,Proportional,1.1666666666666667,FALSE
Carinomitra typha,6,4,1,3,2.868393472388333,5.131606527611667,0,0,5,2,0,7,2,0,7,Proportional,2,FALSE
Cerithium zebrum,3,5.833333333333333,5.192943930629973,6,1.6781127883107487,9.988553878355917,3,0,10,7,2,15,3,0,10,Proportional,2.833333333333333,FALSE
Cerithium zebrum,6,11.333333333333334,1.5275252316519468,3,9.604775810104467,13.0618908565622,3,0,10,7,2,15,7,2,15,Proportional,4.333333333333334,FALSE
Chlorodiella barbata,3,5.666666666666666,6.801960501698511,6,0.223964723289237,11.109368610044095,2,0,9,4,0,15,2,0,9,Proportional,3.666666666666666,FALSE
Chlorodiella barbata,6,9,8.717797887081348,3,-0.865116995420447,18.865116995420447,2,0,9,4,0,15,4,0,15,Proportional,5,FALSE
Coralliogalathea humilis,3,2.333333333333333,2.8751811537130436,6,0.03270926340988867,4.633957403256778,0,0,5,1,0,8,0,0,5,Proportional,2.333333333333333,FALSE
Coralliogalathea humilis,6,1,1,3,-0.1316065276116667,2.131606527611667,0,0,5,1,0,8,1,0,8,Proportional,0,FALSE
Dascyllus aruanus,3,13,4.604345773288535,6,9.315756070326866,16.684243929673134,15,4,26,30,14,44,15,4,26,Proportional,-2,FALSE
Dascyllus aruanus,6,10,2,3,7.736786944776666,12.263213055223334,15,4,26,30,14,44,30,14,44,Below Expected,-20,TRUE
Dascyllus flavicaudus,3,5.666666666666667,2.8751811537130436,6,3.3660425967432226,7.967290736590112,7,1,17,14,3,29,7,1,17,Proportional,-1.333333333333333,FALSE
Dascyllus flavicaudus,6,11.666666666666666,8.736894948054106,3,1.7799393123912477,21.553394020942086,7,1,17,14,3,29,14,3,29,Proportional,-2.333333333333334,FALSE
Diala albugo,3,4.833333333333333,4.167333280008532,6,1.4987722261143066,8.16789444055236,2,0,7,5,0,11,2,0,7,Proportional,2.833333333333333,FALSE
Diala albugo,6,16,5,3,10.341967361941666,21.658032638058334,2,0,7,5,0,11,5,0,11,Proportional,11,FALSE
