species,treatment,total,rank,rel
Alpheus lottini,1,25,11,0.01688048615800135
Alpheus lottini,3,26,13,0.018093249826026444
Alpheus lottini,6,38,9,0.027496382054992764
Apataxia cerithiiformis,1,10,18,0.00675219446320054
Apataxia cerithiiformis,3,28,11,0.019485038274182326
Apataxia cerithiiformis,6,72,4,0.05209840810419682
Athanas djiboutensis,1,22,12,0.014854827819041188
Athanas djiboutensis,3,19,15,0.013221990257480862
Athanas djiboutensis,6,33,11,0.023878437047756874
Calcinus latens,1,46,8,0.031060094530722483
Calcinus latens,3,59,7,0.04105775922059847
Calcinus latens,6,45,6,0.03256150506512301
Caracanthus maculatus,1,14,14,0.009453072248480757
Caracanthus maculatus,3,9,21,0.006263048016701462
Caracanthus maculatus,6,3,28,0.002170767004341534
Carinomitra typha,1,6,24,0.004051316677920324
Carinomitra typha,3,5,25,0.003479471120389701
Carinomitra typha,6,10,22,0.00723589001447178
Cellana taitensis,1,4,27,0.0027008777852802163
Cellana taitensis,3,4,26,0.0027835768963117608
Cellana taitensis,6,5,27,0.00361794500723589
Cerithium zebrum,1,20,13,0.01350438892640108
Cerithium zebrum,3,30,10,0.020876826722338204
Cerithium zebrum,6,29,14,0.020984081041968163
Chlorodiella barbata,1,6,24,0.004051316677920324
Chlorodiella barbata,3,6,22,0.0041753653444676405
Chlorodiella barbata,6,7,24,0.005065123010130246
Dascyllus aruanus,1,69,5,0.04659014179608373
Dascyllus aruanus,3,76,6,0.05288796102992345
Dascyllus aruanus,6,23,16,0.016642547033285094
Dascyllus flavicaudus,1,37,9,0.024983119513842
Dascyllus flavicaudus,3,34,9,0.023660403618649965
Dascyllus flavicaudus,6,35,10,0.02532561505065123
Diala albugo,1,12,15,0.008102633355840648
Diala albugo,3,20,14,0.013917884481558803
Diala albugo,6,42,8,0.030390738060781478
Diala semistriata,1,12,15,0.008102633355840648
Diala semistriata,3,11,18,0.007654836464857342
Diala semistriata,6,23,16,0.016642547033285094
Fennera chacei,1,487,1,0.3288318703578663
Fennera chacei,3,308,2,0.21433542101600556
Fennera chacei,6,285,2,0.20622286541244572
Galathea mauritiana,1,10,18,0.00675219446320054
Galathea mauritiana,3,12,17,0.008350730688935281
Galathea mauritiana,6,32,13,0.023154848046309694
Galeropsis monodonta,1,266,2,0.17960837272113436
Galeropsis monodonta,3,368,1,0.25608907446068196
Galeropsis monodonta,6,340,1,0.2460202604920405
Halichoeres trimaculatus,1,8,21,0.0054017555705604325
Halichoeres trimaculatus,3,3,28,0.0020876826722338203
Halichoeres trimaculatus,6,1,29,7.23589001447178e-4
Hargeria rapax,1,12,15,0.008102633355840648
Hargeria rapax,3,11,18,0.007654836464857342
Hargeria rapax,6,16,20,0.011577424023154847
Harpiliopsis beaupresii,1,7,23,0.004726536124240378
Harpiliopsis beaupresii,3,16,16,0.011134307585247043
Harpiliopsis beaupresii,6,1,29,7.23589001447178e-4
Harpiliopsis spinigera,1,83,4,0.056043214044564485
Harpiliopsis spinigera,3,91,4,0.06332637439109255
Harpiliopsis spinigera,6,63,5,0.045586107091172216
Luniella pugil,1,10,18,0.00675219446320054
Luniella pugil,3,11,18,0.007654836464857342
Luniella pugil,6,18,18,0.013024602026049204
Menaethius monoceros,1,8,21,0.0054017555705604325
Menaethius monoceros,3,4,26,0.0027835768963117608
Menaethius monoceros,6,6,26,0.004341534008683068
Morula zebrina,1,4,27,0.0027008777852802163
Morula zebrina,3,2,30,0.0013917884481558804
Morula zebrina,6,13,21,0.009406657018813314
Paragobiodon modestus,1,52,7,0.035111411208642807
Paragobiodon modestus,3,40,8,0.027835768963117607
Paragobiodon modestus,6,44,7,0.03183791606367583
Periclimenes watamuae,1,149,3,0.10060769750168805
Periclimenes watamuae,3,120,3,0.08350730688935282
Periclimenes watamuae,6,33,11,0.023878437047756874
Stomatolina rubra,1,2,29,0.0013504388926401081
Stomatolina rubra,3,6,22,0.0041753653444676405
Stomatolina rubra,6,7,24,0.005065123010130246
Strigatella assimilis,1,5,26,0.00337609723160027
Strigatella assimilis,3,6,22,0.0041753653444676405
Strigatella assimilis,6,17,19,0.012301013024602027
Synalpheus charon,1,26,10,0.017555705604321403
Synalpheus charon,3,27,12,0.018789144050104383
Synalpheus charon,6,25,15,0.01808972503617945
Trapezia serenei,1,67,6,0.04523970290344362
Trapezia serenei,3,82,5,0.05706332637439109
Trapezia serenei,6,108,3,0.07814761215629522
Xanthias lamarckii,1,2,29,0.0013504388926401081
Xanthias lamarckii,3,3,28,0.0020876826722338203
Xanthias lamarckii,6,8,23,0.005788712011577424
