richness,shannon,k,design
13,1.5433170185352334,1,SL
19,2.05485698514382,1,SL
17,2.397974877264805,1,SL
16,1.7350258609461,1,SL
13,1.5433170185352334,1,SL
21,2.138457804860807,1,SL
15,1.875108090336245,1,SL
16,2.3748778802473525,1,SL
14,2.063051991786071,1,SL
16,1.7350258609461,1,SL
16,2.14327660778363,1,SL
15,1.875108090336245,1,SL
13,2.0985199898536386,1,SL
14,2.063051991786071,1,SL
17,2.055852675615739,1,SL
19,2.05485698514382,1,SL
12,2.259108304016443,1,SL
17,1.7599292491210714,1,SL
17,2.055852675615739,1,SL
15,1.875108090336245,1,SL
16,1.7350258609461,1,SL
16,2.3748778802473525,1,SL
16,1.7350258609461,1,SL
19,2.2693878126601317,1,SL
16,1.6340202555132686,1,SL
16,1.7350258609461,1,SL
25,3.016329892255144,1,SL
14,2.063051991786071,1,SL
20,2.319280249505147,1,SL
18,2.2610783707810502,1,SL
17,2.397974877264805,1,SL
16,2.1056529002529394,1,SL
13,1.5433170185352334,1,SL
15,1.875108090336245,1,SL
17,2.397974877264805,1,SL
18,2.4635522955740115,1,SL
14,2.199193235357044,1,SL
16,2.14327660778363,1,SL
15,2.0842514400535004,1,SL
15,1.8407584235341503,1,SL
17,1.7599292491210714,1,SL
16,1.7350258609461,1,SL
13,1.5433170185352334,1,SL
16,2.3748778802473525,1,SL
17,2.055852675615739,1,SL
17,2.055852675615739,1,SL
15,1.875108090336245,1,SL
15,1.875108090336245,1,SL
17,2.397974877264805,1,SL
13,2.0985199898536386,1,SL
20,2.319280249505147,1,SL
15,2.0842514400535004,1,SL
13,1.5433170185352334,1,SL
14,2.199193235357044,1,SL
16,1.6340202555132686,1,SL
12,2.259108304016443,1,SL
15,2.0842514400535004,1,SL
14,2.131973932104366,1,SL
19,2.05485698514382,1,SL
15,1.8407584235341503,1,SL
14,2.199193235357044,1,SL
15,2.0842514400535004,1,SL
10,2.099856142961591,1,SL
17,2.397974877264805,1,SL
19,2.05485698514382,1,SL
16,2.4230153337695826,1,SL
15,1.8407584235341503,1,SL
19,2.2083376835547637,1,SL
21,2.138457804860807,1,SL
16,2.1056529002529394,1,SL
20,2.319280249505147,1,SL
16,1.7350258609461,1,SL
21,2.8118481071320027,1,SL
19,2.2083376835547637,1,SL
17,2.397974877264805,1,SL
19,2.639222296867376,1,SL
14,2.199193235357044,1,SL
18,2.2610783707810502,1,SL
12,2.259108304016443,1,SL
15,1.8407584235341503,1,SL
16,2.3862505290635627,1,SL
17,2.397974877264805,1,SL
20,2.319280249505147,1,SL
17,2.397974877264805,1,SL
13,1.5433170185352334,1,SL
16,2.2564603724316465,1,SL
15,1.8407584235341503,1,SL
19,2.05485698514382,1,SL
16,2.2564603724316465,1,SL
13,2.0985199898536386,1,SL
14,2.063051991786071,1,SL
13,1.5433170185352334,1,SL
14,2.063051991786071,1,SL
14,2.063051991786071,1,SL
13,1.5433170185352334,1,SL
13,1.5433170185352334,1,SL
13,2.0985199898536386,1,SL
13,1.5433170185352334,1,SL
14,2.063051991786071,1,SL
13,1.5433170185352334,1,SL
16,2.3862505290635627,1,SL
16,2.1056529002529394,1,SL
14,2.480679552334819,1,SL
19,1.772152933930569,1,SL
16,2.0575103511114143,1,SL
25,3.016329892255144,1,SL
15,2.0842514400535004,1,SL
18,2.3191037760126774,1,SL
14,2.199193235357044,1,SL
16,2.2564603724316465,1,SL
16,1.6340202555132686,1,SL
19,1.9412612493485484,1,SL
14,2.063051991786071,1,SL
15,2.0842514400535004,1,SL
19,2.05485698514382,1,SL
25,3.016329892255144,1,SL
14,2.199193235357044,1,SL
17,1.7599292491210714,1,SL
14,2.063051991786071,1,SL
20,2.319280249505147,1,SL
13,2.0985199898536386,1,SL
12,2.259108304016443,1,SL
16,1.6340202555132686,1,SL
25,3.016329892255144,1,SL
15,1.8407584235341503,1,SL
13,1.5433170185352334,1,SL
16,1.7350258609461,1,SL
18,2.2610783707810502,1,SL
17,2.397974877264805,1,SL
14,2.063051991786071,1,SL
18,2.3191037760126774,1,SL
16,2.3748778802473525,1,SL
14,2.063051991786071,1,SL
14,2.199193235357044,1,SL
25,3.016329892255144,1,SL
14,2.199193235357044,1,SL
14,2.131973932104366,1,SL
16,2.4230153337695826,1,SL
12,2.259108304016443,1,SL
16,1.6340202555132686,1,SL
17,2.397974877264805,1,SL
20,2.319280249505147,1,SL
13,1.5433170185352334,1,SL
16,1.6340202555132686,1,SL
16,1.6340202555132686,1,SL
19,1.9412612493485484,1,SL
17,2.397974877264805,1,SL
16,1.7350258609461,1,SL
18,2.3191037760126774,1,SL
14,1.8300096871913039,1,SL
21,2.3709861056346786,1,SL
16,2.3748778802473525,1,SL
16,2.2564603724316465,1,SL
15,1.8407584235341503,1,SL
15,2.0842514400535004,1,SL
