design,k,index,mean,q25,q75
SL,1,richness,16.414829659318634,14,18
SL,1,shannon,2.129831766196928,1.9412612493485484,2.3191037760126774
SL,2,richness,21.629258517034067,21,24
SL,2,shannon,2.3925048206054744,2.2251532430390255,2.497050533315051
SL,3,richness,24.509018036072145,23,26
SL,3,shannon,2.444672322837048,2.355720610196667,2.5057713863506508
SL,4,richness,26.04609218436874,26,26
SL,4,shannon,2.529579806794704,2.4475238919928652,2.6109730604709322
SL,5,richness,26.66933867735471,26,27
SL,5,shannon,2.5510856833943043,2.450957539774939,2.6043430332719275
SS,1,richness,16.452905811623246,15,18
SS,1,shannon,2.1020027571095867,1.875108090336245,2.268446301056169
SS,2,richness,21.861723446893787,20,24
SS,2,shannon,2.2878325549993797,2.1204292029998024,2.415899423011342
SS,3,richness,24.521042084168336,23,27
SS,3,shannon,2.355327536161506,2.190148949577961,2.487171744335166
SS,4,richness,26.322645290581164,25,28
SS,4,shannon,2.3842282665466517,2.2597836243341014,2.4913645254707886
SS,5,richness,27.468937875751504,26,29
SS,5,shannon,2.4012670293737584,2.290284643161228,2.512509470397923
