rank_by_abs_change,species,mean_z_treatment_1,mean_z_treatment_6,delta_z_6_minus_1,abs_delta_z,direction
1,Apataxia cerithiiformis,-0.37690410000689056,1.5341080620088772,1.9110121620157678,1.9110121620157678,higher per-colony density in 6-coral reefs
2,Dascyllus aruanus,0.2211863540161943,-1.0014633980691428,-1.222649752085337,1.222649752085337,higher per-colony density in 1-coral reefs
3,Diala albugo,-0.2121253613827357,0.9978376999443894,1.209963061327125,1.209963061327125,higher per-colony density in 6-coral reefs
4,Strigatella assimilis,-0.12588480305252137,0.9243893871209659,1.050274190173487,1.050274190173487,higher per-colony density in 6-coral reefs
5,Caracanthus maculatus,0.28915932282394596,-0.7185171051988952,-1.0076764280228412,1.0076764280228412,higher per-colony density in 1-coral reefs
6,Xanthias lamarckii,-0.1393575943999398,0.7833585988239049,0.9227161932238447,0.9227161932238447,higher per-colony density in 6-coral reefs
7,Synalpheus charon,0.2802494717981835,-0.5705302446003302,-0.8507797163985137,0.8507797163985137,higher per-colony density in 1-coral reefs
8,Morula zebrina,-0.021809148514793365,0.8142082112189536,0.8360173597337469,0.8360173597337469,higher per-colony density in 6-coral reefs
9,Trapezia serenei,-0.0646110012391346,0.7331648351135458,0.7977758363526803,0.7977758363526803,higher per-colony density in 6-coral reefs
10,Fennera chacei,0.2889493172922577,-0.484228715590913,-0.7731780328831708,0.7731780328831708,higher per-colony density in 1-coral reefs
11,Galathea mauritiana,-0.08888469114800351,0.6595924075354574,0.748477098683461,0.748477098683461,higher per-colony density in 6-coral reefs
12,Periclimenes watamuae,0.18204428852681498,-0.5514769687474261,-0.7335212572742411,0.7335212572742411,higher per-colony density in 1-coral reefs
13,Halichoeres trimaculatus,0.24526838076992186,-0.4866203003698649,-0.7318886811397868,0.7318886811397868,higher per-colony density in 1-coral reefs
14,Harpiliopsis spinigera,0.15358663365133238,-0.5314214320255232,-0.6850080656768556,0.6850080656768556,higher per-colony density in 1-coral reefs
15,Paragobiodon modestus,0.24736511941700398,-0.3187441090995228,-0.5661092285165268,0.5661092285165268,higher per-colony density in 1-coral reefs
