species,metric,slope,r_squared,p_value,error
Dascyllus aruanus,delta_surface_area,26.935051045180746,0.06437558624632944,0.14763728209757948,NA
Dascyllus aruanus,delta_volume,138.21727484186755,0.3438609337871051,2.6788084626858436e-4,NA
Dascyllus aruanus,delta_max_height,0.04365452731024106,0.008894890531458406,0.5957319103134782,NA
Dascyllus aruanus,delta_interstitial,17.982505537650695,0.015373765359080789,0.48477330150112685,NA
Dascyllus aruanus,size_corrected_volume_growth,0.07576834525726835,0.2500810539168377,0.0025984042962786326,NA
Caracanthus maculatus,delta_surface_area,-29.376447335616312,0.0032372699082296526,0.817036645433497,NA
Caracanthus maculatus,delta_volume,232.79906049657538,0.03799617267914335,0.4238870949910972,NA
Caracanthus maculatus,delta_max_height,-1.0799712178356162,0.23862219014130434,0.03382614008999989,NA
Caracanthus maculatus,delta_interstitial,135.28654866095917,0.03442549376348635,0.44696211883391856,NA
Caracanthus maculatus,size_corrected_volume_growth,-0.05806078644753658,0.004820185173776203,0.7776190376335561,NA
Paragobiodon modestus,delta_surface_area,32.01063868539828,0.04474890921820099,0.24513444122907782,NA
Paragobiodon modestus,delta_volume,-15.86458649564449,0.002335860341396737,0.7928004121116647,NA
Paragobiodon modestus,delta_max_height,-0.0398117469210112,0.0037559101234395597,0.7389807905384549,NA
Paragobiodon modestus,delta_interstitial,64.18132156808845,0.07985949119451102,0.11708454820226749,NA
Paragobiodon modestus,size_corrected_volume_growth,-0.021796882880375824,0.010450145200787932,0.5777105890493686,NA
Echinometra mathaei,delta_surface_area,-570.6819937500007,0.257029397288524,0.38332295373835523,NA
Echinometra mathaei,delta_volume,-321.4477792000005,0.03950317767224706,0.7486146039906443,NA
Echinometra mathaei,delta_max_height,-1.577439978,0.7140072544675725,0.07153369378339518,NA
Echinometra mathaei,delta_interstitial,-1071.2958968000005,0.2936239665105542,0.3455019409490396,NA
Echinometra mathaei,size_corrected_volume_growth,-0.15875757744257912,0.039352932714900556,0.7490867132315318,NA
Synalpheus charon,delta_surface_area,43.524390643137075,0.0062381886952047995,0.6235248144233104,NA
Synalpheus charon,delta_volume,124.7787776556854,0.01112672771836344,0.5115860758252216,NA
Synalpheus charon,delta_max_height,-0.5239306607784291,0.05991259780144181,0.12297758888501287,NA
