feature,loading,sign
Diala semistriata,0.37362043936646616,+
Trapezia serenei,0.3712996414952873,+
Apataxia cerithiiformis,0.3545289430663379,+
Diala albugo,0.3193408931910395,+
Fennera chacei,-0.28237796864039333,-
Periclimenes watamuae,-0.2526374596717768,-
Athanas djiboutensis,0.21642513468745211,+
Cerithium zebrum,0.21062078780917723,+
Galathea mauritiana,0.2018941795476908,+
Strigatella assimilis,0.18728693586690476,+
Calcinus latens,0.17348348102175234,+
Synalpheus charon,0.1654556061238332,+
Chlorodiella barbata,0.15911169981457626,+
Hargeria rapax,0.14784494485385855,+
Galeropsis monodonta,0.1436176122256249,+
Luniella pugil,0.13161152908249382,+
Harpiliopsis spinigera,-0.11648995137793985,-
Dascyllus flavicaudus,-0.10011492635727705,-
Paragobiodon modestus,0.09995335891797671,+
Alpheus lottini,0.08906608457152979,+
Dascyllus aruanus,0.012753557491862114,+
