feature,loading,sign
Diala albugo,-0.33716075506747056,-
Fennera chacei,0.32557816476446244,+
Trapezia serenei,-0.3020788746096753,-
Diala semistriata,-0.2960213211877331,-
Strigatella assimilis,-0.2551633962800251,-
Athanas djiboutensis,-0.24480205162681562,-
Periclimenes watamuae,0.23303173045389874,+
Apataxia cerithiiformis,-0.2322707144418865,-
Cerithium zebrum,-0.22628585288457057,-
Chlorodiella barbata,-0.22284635797581506,-
Calcinus latens,-0.1935457018779005,-
Hargeria rapax,-0.19042968515625966,-
Alpheus lottini,-0.1832081186097854,-
Paragobiodon modestus,-0.17736703637424936,-
Dascyllus flavicaudus,0.1702448311854516,+
Harpiliopsis spinigera,0.16445076971489597,+
Synalpheus charon,-0.15981101998112443,-
Dascyllus aruanus,0.13060583916359494,+
Luniella pugil,-0.12700567185201853,-
Galathea mauritiana,-0.11496245041480606,-
Galeropsis monodonta,0.023796167683393998,+
