feature,loading
Mitrella moleculina,-0.247247713959558
Periclimenes watamuae,0.24413253363963103
Stomatolina rubra,-0.24173522586432372
Zafra hahajimana,-0.24155101580391256
Caracanthus maculatus,0.23949792745060336
Harpiliopsis spinigera,0.2374461769967614
Diala semistriata,-0.23581843565762634
Galathea mauritiana,-0.22084171612636025
Luniella pugil,-0.20843727636533088
Diala albugo,-0.196249932479457
Apataxia cerithiiformis,-0.19401597339157195
Cerithium zebrum,-0.19310336108991205
Dascyllus flavicaudus,0.1876677590193586
Menaethius monoceros,-0.18680397157663026
Strigatella assimilis,-0.18219578309418819
Xanthias lamarckii,-0.17411468411721193
Hargeria rapax,-0.16509196960770142
Alpheus diadema,-0.16328558306077226
Trapezia serenei,-0.15686223520422912
Dascyllus aruanus,0.15260836192589494
Trapezia tigrina,-0.13853343299395196
Carinomitra typha,-0.130660675593691
Fennera chacei,0.12773726488255116
Athanas djiboutensis,-0.11886136614879489
Alpheus lottini,-0.11719904646566692
Chlorodiella barbata,-0.11040446443170265
Macteola interrupta,-0.09765471121400562
Halichoeres trimaculatus,0.09412913413300934
Morula zebrina,-0.08716702987187044
Synalpheus charon,0.08409060483353024
Pascula muricata,-0.07783117163533632
Galeropsis monodonta,-0.07300970772562322
Calcinus latens,0.07293099919167963
Vexillum interruptum,0.06878139012145733
Cellana taitensis,-0.06412121535340694
Harpiliopsis beaupresii,-0.02053240411555169
Paragobiodon modestus,-0.018569316271453
Coralliogalathea humilis,-0.0043014036343854214
