feature,loading
Mitrella moleculina,0.24724771395955816
Periclimenes watamuae,-0.24413253363963114
Stomatolina rubra,0.24173522586432386
Zafra hahajimana,0.24155101580391267
Caracanthus maculatus,-0.23949792745060353
Harpiliopsis spinigera,-0.2374461769967615
Diala semistriata,0.2358184356576265
Galathea mauritiana,0.22084171612636033
Luniella pugil,0.208437276365331
Diala albugo,0.19624993247945705
Apataxia cerithiiformis,0.19401597339157217
Cerithium zebrum,0.19310336108991227
Dascyllus flavicaudus,-0.18766775901935864
Menaethius monoceros,0.18680397157663026
Strigatella assimilis,0.18219578309418824
Xanthias lamarckii,0.17411468411721207
Hargeria rapax,0.16509196960770145
Alpheus diadema,0.1632855830607725
Trapezia serenei,0.15686223520422915
Dascyllus aruanus,-0.152608361925895
Trapezia tigrina,0.13853343299395204
Carinomitra typha,0.13066067559369107
Fennera chacei,-0.1277372648825512
Athanas djiboutensis,0.11886136614879503
Alpheus lottini,0.11719904646566681
Chlorodiella barbata,0.11040446443170272
Macteola interrupta,0.09765471121400572
Halichoeres trimaculatus,-0.0941291341330094
Morula zebrina,0.08716702987187046
Synalpheus charon,-0.08409060483353026
Pascula muricata,0.07783117163533632
Galeropsis monodonta,0.07300970772562328
Calcinus latens,-0.07293099919167959
Vexillum interruptum,-0.06878139012145743
Cellana taitensis,0.06412121535340691
Harpiliopsis beaupresii,0.020532404115551725
Paragobiodon modestus,0.018569316271453005
Coralliogalathea humilis,0.004301403634385463
