feature,loading
Galathea mauritiana,-0.2906428265753567
Stomatolina rubra,-0.27174210864416276
Trapezia serenei,-0.2646824663729028
Strigatella assimilis,-0.25137727223712014
Mitrella moleculina,-0.23947037334357485
Diala semistriata,-0.2314637302619804
Alpheus diadema,-0.2253239245186436
Harpiliopsis spinigera,0.21184575554843035
Caracanthus maculatus,0.21081202291427478
Luniella pugil,-0.21009032918980444
Diala albugo,-0.20226188541300275
Apataxia cerithiiformis,-0.1993041968692958
Zafra hahajimana,-0.19605629304151548
Cerithium zebrum,-0.17876707410977757
Periclimenes watamuae,0.17673564403762052
Dascyllus flavicaudus,0.17087491741229052
Paragobiodon modestus,-0.15404040336862895
Halichoeres trimaculatus,0.14295996085246054
Calcinus latens,0.14075603840128634
Alpheus lottini,-0.12586189307476103
Xanthias lamarckii,-0.11612898154435146
Morula zebrina,-0.1137566609614421
Coralliogalathea humilis,-0.1073095322897023
Dascyllus aruanus,0.105701896584005
Carinomitra typha,-0.10026605727626041
Chlorodiella barbata,-0.09729648035051285
Menaethius monoceros,-0.09402567770317696
Galeropsis monodonta,-0.08555931536213765
Vexillum interruptum,0.08154111639496381
Macteola interrupta,-0.08028970878431388
Athanas djiboutensis,-0.07447252408786287
Synalpheus charon,-0.0654799079225591
Trapezia tigrina,-0.06471113243655012
Fennera chacei,0.0637716682219807
Hargeria rapax,-0.058139180315110096
Cellana taitensis,-0.05112183323961152
Harpiliopsis beaupresii,0.005448347803448531
Pascula muricata,0.0011507160364606457
