feature,loading
Fennera chacei,-0.5301235540774691
Galeropsis monodonta,-0.5230523201345065
Trapezia serenei,-0.27135521758957565
Harpiliopsis spinigera,-0.25751036376870473
Periclimenes watamuae,-0.23071627544771806
Dascyllus aruanus,-0.19024865168233707
Calcinus latens,-0.1741306617018888
Paragobiodon modestus,-0.1711614951735328
Synalpheus charon,-0.14510949622930633
Alpheus lottini,-0.1403929035627054
Dascyllus flavicaudus,-0.1321127543143356
Apataxia cerithiiformis,-0.12662851053225865
Cerithium zebrum,-0.12113973795267421
Diala albugo,-0.10725997120924331
Athanas djiboutensis,-0.094925746017015325
Galathea mauritiana,-0.0849432179583722
Luniella pugil,-0.08346647937124517
Hargeria rapax,-0.07180748182289837
Diala semistriata,-0.06440774471874981
Strigatella assimilis,-0.06159224159619518
Caracanthus maculatus,-0.06148886974415991
Harpiliopsis beaupresii,-0.041786721971378005
Chlorodiella barbata,-0.04097104971559435
Carinomitra typha,-0.03784068769302968
Morula zebrina,-0.034293733213701695
Stomatolina rubra,-0.032879733804897025
Menaethius monoceros,-0.03162708819216596
Xanthias lamarckii,-0.030986614811975528
Cellana taitensis,-0.030183916102093512
Mitrella moleculina,-0.029791428324578866
Trapezia tigrina,-0.029471757450426784
Zafra hahajimana,-0.028537457556632985
Coralliogalathea humilis,-0.027747454788558074
Halichoeres trimaculatus,-0.026945819039152184
Pascula muricata,-0.0220783876098441
Alpheus diadema,-0.022028434737590145
Vexillum interruptum,-0.02138185402412089
Macteola interrupta,-0.020222535245031356
