feature,loading
Stomatolina rubra,-0.2868450344571921
Galathea mauritiana,-0.2663155007942438
Mitrella moleculina,-0.2556016515106805
Caracanthus maculatus,0.24725370110074424
Trapezia serenei,-0.2324385721741405
Apataxia cerithiiformis,-0.22543901142617928
Zafra hahajimana,-0.2246059563841109
Diala semistriata,-0.22198705513896005
Harpiliopsis spinigera,0.2203617072194836
Luniella pugil,-0.21698489531677997
Periclimenes watamuae,0.2003926183450205
Cerithium zebrum,-0.19492951181542717
Alpheus diadema,-0.18830414381934568
Diala albugo,-0.18474624282678148
Strigatella assimilis,-0.18447808791323006
Dascyllus flavicaudus,0.16458647870294144
Dascyllus aruanus,0.14670297165472662
Halichoeres trimaculatus,0.1399499023473109
Calcinus latens,0.13617385725195294
Menaethius monoceros,-0.12891575848998071
Carinomitra typha,-0.12513774564521227
Xanthias lamarckii,-0.12474189849593856
Hargeria rapax,-0.12343676562224123
Morula zebrina,-0.1182416625767499
Trapezia tigrina,-0.10604326582007569
Macteola interrupta,-0.1007427015259219
Alpheus lottini,-0.09237821070809005
Athanas djiboutensis,-0.09168693072934393
Chlorodiella barbata,-0.09100032941632717
Galeropsis monodonta,-0.08233967505345577
Vexillum interruptum,0.07493374113755115
Paragobiodon modestus,-0.06771719139245522
Fennera chacei,0.06447102959734587
Coralliogalathea humilis,-0.057314141003596754
Pascula muricata,-0.04187478885903987
Synalpheus charon,0.027155735471331877
Cellana taitensis,-0.02483272256280669
Harpiliopsis beaupresii,0.019818796367542687
