feature,loading
Fennera chacei,0.5301235540774691
Galeropsis monodonta,0.5230523201345064
Trapezia serenei,0.27135521758957565
Harpiliopsis spinigera,0.25751036376870473
Periclimenes watamuae,0.2307162754477181
Dascyllus aruanus,0.19024865168233707
Calcinus latens,0.17413066170188876
Paragobiodon modestus,0.1711614951735327
Synalpheus charon,0.14510949622930627
Alpheus lottini,0.14039290356270517
Dascyllus flavicaudus,0.1321127543143356
Apataxia cerithiiformis,0.1266285105322586
Cerithium zebrum,0.1211397379526742
Diala albugo,0.10725997120924327
Athanas djiboutensis,0.0949257460170153
Galathea mauritiana,0.08494321795837219
Luniella pugil,0.08346647937124516
Hargeria rapax,0.07180748182289834
Diala semistriata,0.0644077447187498
Strigatella assimilis,0.06159224159619518
Caracanthus maculatus,0.0614888697441599
Harpiliopsis beaupresii,0.041786721971378
Chlorodiella barbata,0.040971049715594336
Carinomitra typha,0.03784068769302968
Morula zebrina,0.034293733213701695
Stomatolina rubra,0.03287973380489702
Menaethius monoceros,0.031627088192165954
Xanthias lamarckii,0.030986614811975517
Cellana taitensis,0.030183916102093505
Mitrella moleculina,0.029791428324578862
Trapezia tigrina,0.02947175745042678
Zafra hahajimana,0.028537457556632975
Coralliogalathea humilis,0.02774745478855807
Halichoeres trimaculatus,0.026945819039152184
Pascula muricata,0.022078387609844086
Alpheus diadema,0.022028434737590197
Vexillum interruptum,0.021381854024120878
Macteola interrupta,0.02022253524503135
