Response,Predictor,Std.Estimate
growth_vol_b,percent_alive_z,0.0702
growth_vol_b,delta_surface_area_z,0.1338
growth_vol_b,delta_volume_z,0.7987
growth_vol_b,delta_max_height_z,0.0474
growth_vol_b,delta_interstitial_z,-0.1647
growth_vol_b,Chlorodiella_barbata_sqrt_z,-0.0093
growth_vol_b,Galeropsis_monodonta_sqrt_z,-0.0586
growth_vol_b,Macteola_interrupta_sqrt_z,0.1063
growth_vol_b,Athanas_djiboutensis_sqrt_z,-0.0727
growth_vol_b,Synalpheus_charon_sqrt_z,-0.1406
growth_vol_b,Trapezia_tigrina_sqrt_z,-0.1372
growth_vol_b,Hargeria_rapax_sqrt_z,0.1692
growth_vol_b,Cellana_taitensis_sqrt_z,-0.0335
growth_vol_b,Harpiliopsis_beaupresii_sqrt_z,0.0519
growth_vol_b,Fennera_chacei_sqrt_z,-0.1238
growth_vol_b,Vexillum_interruptum_sqrt_z,0.0495
growth_vol_b,Dascyllus_aruanus_sqrt_z,-0.0565
growth_vol_b,Calcinus_latens_sqrt_z,-0.0615
growth_vol_b,Dascyllus_flavicaudus_sqrt_z,0.0238
growth_vol_b,Periclimenes_watamuae_sqrt_z,-0.0154
growth_vol_b,Caracanthus_maculatus_sqrt_z,0.09
growth_vol_b,Harpiliopsis_spinigera_sqrt_z,-0.0391
protein_mg_cm2,percent_alive_z,0.1611
protein_mg_cm2,delta_surface_area_z,-0.6158
protein_mg_cm2,delta_volume_z,0.4516
protein_mg_cm2,delta_max_height_z,0.1623
protein_mg_cm2,delta_interstitial_z,0.3262
protein_mg_cm2,Chlorodiella_barbata_sqrt_z,0.0203
protein_mg_cm2,Galeropsis_monodonta_sqrt_z,-0.2456
protein_mg_cm2,Macteola_interrupta_sqrt_z,-0.0298
protein_mg_cm2,Athanas_djiboutensis_sqrt_z,-0.0881
protein_mg_cm2,Synalpheus_charon_sqrt_z,-0.1444
protein_mg_cm2,Trapezia_tigrina_sqrt_z,-0.0192
protein_mg_cm2,Hargeria_rapax_sqrt_z,-0.2284
protein_mg_cm2,Cellana_taitensis_sqrt_z,-0.1679
protein_mg_cm2,Harpiliopsis_beaupresii_sqrt_z,-0.1254
protein_mg_cm2,Fennera_chacei_sqrt_z,0.3654
protein_mg_cm2,Vexillum_interruptum_sqrt_z,0.0174
protein_mg_cm2,Dascyllus_aruanus_sqrt_z,-0.2823
protein_mg_cm2,Calcinus_latens_sqrt_z,0.2623
protein_mg_cm2,Dascyllus_flavicaudus_sqrt_z,0.1371
protein_mg_cm2,Periclimenes_watamuae_sqrt_z,-0.1929
protein_mg_cm2,Caracanthus_maculatus_sqrt_z,0.3425
protein_mg_cm2,Harpiliopsis_spinigera_sqrt_z,-0.3174
carb_mg_cm2,percent_alive_z,0.0752
carb_mg_cm2,delta_surface_area_z,-0.5869
carb_mg_cm2,delta_volume_z,0.43120000000000003
carb_mg_cm2,delta_max_height_z,0.2258
carb_mg_cm2,delta_interstitial_z,0.2733
carb_mg_cm2,Chlorodiella_barbata_sqrt_z,-0.056
carb_mg_cm2,Galeropsis_monodonta_sqrt_z,-0.2637
carb_mg_cm2,Macteola_interrupta_sqrt_z,0.1318
carb_mg_cm2,Athanas_djiboutensis_sqrt_z,-0.2437
carb_mg_cm2,Synalpheus_charon_sqrt_z,-0.1704
carb_mg_cm2,Trapezia_tigrina_sqrt_z,-0.2216
carb_mg_cm2,Hargeria_rapax_sqrt_z,-0.2084
carb_mg_cm2,Cellana_taitensis_sqrt_z,0.0283
carb_mg_cm2,Harpiliopsis_beaupresii_sqrt_z,-0.0667
carb_mg_cm2,Fennera_chacei_sqrt_z,0.3316
carb_mg_cm2,Vexillum_interruptum_sqrt_z,-0.0385
carb_mg_cm2,Dascyllus_aruanus_sqrt_z,-0.1397
carb_mg_cm2,Calcinus_latens_sqrt_z,0.2891
carb_mg_cm2,Dascyllus_flavicaudus_sqrt_z,-0.0102
carb_mg_cm2,Periclimenes_watamuae_sqrt_z,0.2688
carb_mg_cm2,Caracanthus_maculatus_sqrt_z,0.261
carb_mg_cm2,Harpiliopsis_spinigera_sqrt_z,-0.2162
zoox_cells_cm2,percent_alive_z,0.1546
zoox_cells_cm2,delta_surface_area_z,-0.7534
zoox_cells_cm2,delta_volume_z,0.2597
zoox_cells_cm2,delta_max_height_z,0.0402
zoox_cells_cm2,delta_interstitial_z,0.346
zoox_cells_cm2,Chlorodiella_barbata_sqrt_z,0.0452
zoox_cells_cm2,Galeropsis_monodonta_sqrt_z,0.2401
zoox_cells_cm2,Macteola_interrupta_sqrt_z,0.067
zoox_cells_cm2,Athanas_djiboutensis_sqrt_z,-0.2428
zoox_cells_cm2,Synalpheus_charon_sqrt_z,-0.1197
zoox_cells_cm2,Trapezia_tigrina_sqrt_z,-0.5809
zoox_cells_cm2,Hargeria_rapax_sqrt_z,0.2537
zoox_cells_cm2,Cellana_taitensis_sqrt_z,-0.1435
zoox_cells_cm2,Harpiliopsis_beaupresii_sqrt_z,0.0931
zoox_cells_cm2,Fennera_chacei_sqrt_z,-0.0085
zoox_cells_cm2,Vexillum_interruptum_sqrt_z,0.0108
zoox_cells_cm2,Dascyllus_aruanus_sqrt_z,-0.2087
zoox_cells_cm2,Calcinus_latens_sqrt_z,0.3074
zoox_cells_cm2,Dascyllus_flavicaudus_sqrt_z,0.1507
zoox_cells_cm2,Periclimenes_watamuae_sqrt_z,-0.0076
zoox_cells_cm2,Caracanthus_maculatus_sqrt_z,0.3987
zoox_cells_cm2,Harpiliopsis_spinigera_sqrt_z,-0.0222
afdw_mg_cm2,percent_alive_z,0.2191
afdw_mg_cm2,delta_surface_area_z,-0.3107
afdw_mg_cm2,delta_volume_z,-0.2637
afdw_mg_cm2,delta_max_height_z,0.2522
afdw_mg_cm2,delta_interstitial_z,0.0567
afdw_mg_cm2,Chlorodiella_barbata_sqrt_z,0.2461
afdw_mg_cm2,Galeropsis_monodonta_sqrt_z,-0.0896
afdw_mg_cm2,Macteola_interrupta_sqrt_z,-0.1145
afdw_mg_cm2,Athanas_djiboutensis_sqrt_z,0.2827
afdw_mg_cm2,Synalpheus_charon_sqrt_z,-0.0236
afdw_mg_cm2,Trapezia_tigrina_sqrt_z,-0.0593
afdw_mg_cm2,Hargeria_rapax_sqrt_z,0.2144
afdw_mg_cm2,Cellana_taitensis_sqrt_z,0.0256
afdw_mg_cm2,Harpiliopsis_beaupresii_sqrt_z,-0.0409
afdw_mg_cm2,Fennera_chacei_sqrt_z,0.2165
afdw_mg_cm2,Vexillum_interruptum_sqrt_z,6e-4
afdw_mg_cm2,Dascyllus_aruanus_sqrt_z,-0.043
afdw_mg_cm2,Calcinus_latens_sqrt_z,0.1421
afdw_mg_cm2,Dascyllus_flavicaudus_sqrt_z,0.1941
afdw_mg_cm2,Periclimenes_watamuae_sqrt_z,-0.1316
afdw_mg_cm2,Caracanthus_maculatus_sqrt_z,0.5917
afdw_mg_cm2,Harpiliopsis_spinigera_sqrt_z,-0.0776
