rank,from,to,r,abs_weight
1,zoox_cells_cm2,Galathea_mauritiana,-0.4460202574261388,0.4460202574261388
2,Dascyllus_aruanus,Synalpheus_charon,-0.43474860238511104,0.43474860238511104
3,Fennera_chacei,Paragobiodon_modestus,-0.4168657547468068,0.4168657547468068
4,Pascula_muricata,Synalpheus_charon,-0.4081911522224831,0.4081911522224831
5,zoox_cells_cm2,Apataxia_cerithiiformis,-0.38104298715936424,0.38104298715936424
6,zoox_cells_cm2,Stomatolina_rubra,-0.34324809087349806,0.34324809087349806
7,carb_mg_cm2,Luniella_pugil,-0.34274135348831924,0.34274135348831924
8,Dascyllus_flavicaudus,Galathea_mauritiana,-0.33742219148699676,0.33742219148699676
9,protein_mg_cm2,Luniella_pugil,-0.3331436895367164,0.3331436895367164
10,Dascyllus_flavicaudus,Diala_albugo,-0.3175770863867152,0.3175770863867152
11,growth_vol_b,Synalpheus_charon,-0.3128178187215813,0.3128178187215813
12,Alpheus_diadema,Fennera_chacei,-0.30809213553863135,0.30809213553863135
13,Caracanthus_maculatus,Morula_zebrina,-0.3065065812639698,0.3065065812639698
14,Dascyllus_aruanus,Trapezia_serenei,-0.3025970084575548,0.3025970084575548
