rank,from,to,r,Effect,abs_weight
1,protein_mg_cm2,carb_mg_cm2,0.783121484396287,Positive,0.783121484396287
2,Coralliogalathea_humilis,Stomatolina_rubra,0.6486043681256771,Positive,0.6486043681256771
3,Diala_semistriata,Stomatolina_rubra,0.6185346376690657,Positive,0.6185346376690657
4,Diala_semistriata,Mitrella_moleculina,0.5870366340662717,Positive,0.5870366340662717
5,carb_mg_cm2,afdw_mg_cm2,0.5480216888970936,Positive,0.5480216888970936
6,Galeropsis_monodonta,Trapezia_serenei,0.509916356510551,Positive,0.509916356510551
7,protein_mg_cm2,afdw_mg_cm2,0.509769859473865,Positive,0.509769859473865
8,zoox_cells_cm2,Galeropsis_monodonta,0.5054703609886436,Positive,0.5054703609886436
9,Cerithium_zebrum,Hargeria_rapax,0.4806236909878987,Positive,0.4806236909878987
10,Dascyllus_flavicaudus,Harpiliopsis_spinigera,0.47504636260746735,Positive,0.47504636260746735
11,Mitrella_moleculina,Stomatolina_rubra,0.45973313208236344,Positive,0.45973313208236344
12,Alpheus_diadema,Galathea_mauritiana,0.452467600082417,Positive,0.452467600082417
13,Cerithium_zebrum,Stomatolina_rubra,0.44923046810297806,Positive,0.44923046810297806
14,zoox_cells_cm2,Galathea_mauritiana,-0.4460202574261388,Negative,0.4460202574261388
15,Chlorodiella_barbata,Periclimenes_watamuae,0.4436355275544807,Positive,0.4436355275544807
16,Galathea_mauritiana,Luniella_pugil,0.43943052993764636,Positive,0.43943052993764636
17,Cerithium_zebrum,Coralliogalathea_humilis,0.4393494521890374,Positive,0.4393494521890374
18,Carinomitra_typha,Morula_zebrina,0.4348245168593045,Positive,0.4348245168593045
19,Dascyllus_aruanus,Synalpheus_charon,-0.43474860238511104,Negative,0.43474860238511104
20,Macteola_interrupta,Menaethius_monoceros,0.43176198809592536,Positive,0.43176198809592536
21,Caracanthus_maculatus,Harpiliopsis_spinigera,0.43121977799741823,Positive,0.43121977799741823
22,Alpheus_diadema,Trapezia_serenei,0.42498580071933056,Positive,0.42498580071933056
23,Coralliogalathea_humilis,Mitrella_moleculina,0.4187477954484617,Positive,0.4187477954484617
24,Fennera_chacei,Paragobiodon_modestus,-0.4168657547468068,Negative,0.4168657547468068
25,Coralliogalathea_humilis,Menaethius_monoceros,0.41031330099590535,Positive,0.41031330099590535
26,Diala_albugo,Strigatella_assimilis,0.40951435871125547,Positive,0.40951435871125547
27,Pascula_muricata,Synalpheus_charon,-0.4081911522224831,Negative,0.4081911522224831
28,protein_mg_cm2,Caracanthus_maculatus,0.406316429025545,Positive,0.406316429025545
29,growth_vol_b,Dascyllus_aruanus,0.4046241033308216,Positive,0.4046241033308216
30,Cellana_taitensis,Harpiliopsis_beaupresii,0.40368961492313804,Positive,0.40368961492313804
31,Paragobiodon_modestus,Strigatella_assimilis,0.3943332589081677,Positive,0.3943332589081677
32,Alpheus_diadema,Paragobiodon_modestus,0.3918025874674342,Positive,0.3918025874674342
33,Calcinus_latens,Harpiliopsis_beaupresii,0.39126154064875224,Positive,0.39126154064875224
34,protein_mg_cm2,Fennera_chacei,0.390108846398133,Positive,0.390108846398133
35,Coralliogalathea_humilis,Dascyllus_aruanus,0.38679577288743616,Positive,0.38679577288743616
36,Chlorodiella_barbata,Menaethius_monoceros,0.3836109979370503,Positive,0.3836109979370503
37,zoox_cells_cm2,Zafra_hahajimana,0.3811376829149901,Positive,0.3811376829149901
38,zoox_cells_cm2,Apataxia_cerithiiformis,-0.38104298715936424,Negative,0.38104298715936424
39,Harpiliopsis_spinigera,Periclimenes_watamuae,0.38021630487364916,Positive,0.38021630487364916
40,afdw_mg_cm2,Caracanthus_maculatus,0.3785803482991713,Positive,0.3785803482991713
41,Luniella_pugil,Mitrella_moleculina,0.37536082839525514,Positive,0.37536082839525514
42,Apataxia_cerithiiformis,Stomatolina_rubra,0.3749074878074476,Positive,0.3749074878074476
43,Coralliogalathea_humilis,Macteola_interrupta,0.37486273465950054,Positive,0.37486273465950054
44,growth_vol_b,Harpiliopsis_spinigera,0.3737163072851265,Positive,0.3737163072851265
45,Menaethius_monoceros,Stomatolina_rubra,0.37247291619997097,Positive,0.37247291619997097
46,Galathea_mauritiana,Trapezia_serenei,0.3683633797625527,Positive,0.3683633797625527
47,growth_vol_b,protein_mg_cm2,0.3655784525467641,Positive,0.3655784525467641
48,Morula_zebrina,Zafra_hahajimana,0.36428775197448826,Positive,0.36428775197448826
49,Athanas_djiboutensis,Vexillum_interruptum,0.36280238437631085,Positive,0.36280238437631085
50,Galathea_mauritiana,Paragobiodon_modestus,0.361500923675904,Positive,0.361500923675904
51,carb_mg_cm2,zoox_cells_cm2,0.36070657577277476,Positive,0.36070657577277476
52,Diala_semistriata,Menaethius_monoceros,0.3600585625684176,Positive,0.3600585625684176
53,Athanas_djiboutensis,Cellana_taitensis,0.3554785370630758,Positive,0.3554785370630758
54,carb_mg_cm2,Caracanthus_maculatus,0.3478336277865687,Positive,0.3478336277865687
55,Coralliogalathea_humilis,Luniella_pugil,0.3470872872368171,Positive,0.3470872872368171
56,Dascyllus_flavicaudus,Periclimenes_watamuae,0.34606051008193883,Positive,0.34606051008193883
57,zoox_cells_cm2,Stomatolina_rubra,-0.34324809087349806,Negative,0.34324809087349806
58,Chlorodiella_barbata,Harpiliopsis_beaupresii,0.34314846476386557,Positive,0.34314846476386557
59,carb_mg_cm2,Luniella_pugil,-0.34274135348831924,Negative,0.34274135348831924
60,Macteola_interrupta,Stomatolina_rubra,0.3405163427870825,Positive,0.3405163427870825
61,zoox_cells_cm2,afdw_mg_cm2,0.3401953937750224,Positive,0.3401953937750224
62,Alpheus_lottini,Trapezia_serenei,0.3396854605667272,Positive,0.3396854605667272
