rank,from,to,r,abs_weight
1,protein_mg_cm2,carb_mg_cm2,0.783121484396287,0.783121484396287
2,Coralliogalathea_humilis,Stomatolina_rubra,0.6486043681256771,0.6486043681256771
3,Diala_semistriata,Stomatolina_rubra,0.6185346376690657,0.6185346376690657
4,Diala_semistriata,Mitrella_moleculina,0.5870366340662717,0.5870366340662717
5,carb_mg_cm2,afdw_mg_cm2,0.5480216888970936,0.5480216888970936
6,Galeropsis_monodonta,Trapezia_serenei,0.509916356510551,0.509916356510551
7,protein_mg_cm2,afdw_mg_cm2,0.509769859473865,0.509769859473865
8,zoox_cells_cm2,Galeropsis_monodonta,0.5054703609886436,0.5054703609886436
9,Cerithium_zebrum,Hargeria_rapax,0.4806236909878987,0.4806236909878987
10,Dascyllus_flavicaudus,Harpiliopsis_spinigera,0.47504636260746735,0.47504636260746735
11,Mitrella_moleculina,Stomatolina_rubra,0.45973313208236344,0.45973313208236344
12,Alpheus_diadema,Galathea_mauritiana,0.452467600082417,0.452467600082417
13,Cerithium_zebrum,Stomatolina_rubra,0.44923046810297806,0.44923046810297806
14,Chlorodiella_barbata,Periclimenes_watamuae,0.4436355275544807,0.4436355275544807
15,Galathea_mauritiana,Luniella_pugil,0.43943052993764636,0.43943052993764636
16,Cerithium_zebrum,Coralliogalathea_humilis,0.4393494521890374,0.4393494521890374
17,Carinomitra_typha,Morula_zebrina,0.4348245168593045,0.4348245168593045
18,Macteola_interrupta,Menaethius_monoceros,0.43176198809592536,0.43176198809592536
19,Caracanthus_maculatus,Harpiliopsis_spinigera,0.43121977799741823,0.43121977799741823
20,Alpheus_diadema,Trapezia_serenei,0.42498580071933056,0.42498580071933056
21,Coralliogalathea_humilis,Mitrella_moleculina,0.4187477954484617,0.4187477954484617
22,Coralliogalathea_humilis,Menaethius_monoceros,0.41031330099590535,0.41031330099590535
23,Diala_albugo,Strigatella_assimilis,0.40951435871125547,0.40951435871125547
24,protein_mg_cm2,Caracanthus_maculatus,0.406316429025545,0.406316429025545
25,growth_vol_b,Dascyllus_aruanus,0.4046241033308216,0.4046241033308216
26,Cellana_taitensis,Harpiliopsis_beaupresii,0.40368961492313804,0.40368961492313804
27,Paragobiodon_modestus,Strigatella_assimilis,0.3943332589081677,0.3943332589081677
28,Alpheus_diadema,Paragobiodon_modestus,0.3918025874674342,0.3918025874674342
29,Calcinus_latens,Harpiliopsis_beaupresii,0.39126154064875224,0.39126154064875224
30,protein_mg_cm2,Fennera_chacei,0.390108846398133,0.390108846398133
31,Coralliogalathea_humilis,Dascyllus_aruanus,0.38679577288743616,0.38679577288743616
32,Chlorodiella_barbata,Menaethius_monoceros,0.3836109979370503,0.3836109979370503
33,zoox_cells_cm2,Zafra_hahajimana,0.3811376829149901,0.3811376829149901
34,Harpiliopsis_spinigera,Periclimenes_watamuae,0.38021630487364916,0.38021630487364916
35,afdw_mg_cm2,Caracanthus_maculatus,0.3785803482991713,0.3785803482991713
36,Luniella_pugil,Mitrella_moleculina,0.37536082839525514,0.37536082839525514
37,Apataxia_cerithiiformis,Stomatolina_rubra,0.3749074878074476,0.3749074878074476
38,Coralliogalathea_humilis,Macteola_interrupta,0.37486273465950054,0.37486273465950054
39,growth_vol_b,Harpiliopsis_spinigera,0.3737163072851265,0.3737163072851265
40,Menaethius_monoceros,Stomatolina_rubra,0.37247291619997097,0.37247291619997097
41,Galathea_mauritiana,Trapezia_serenei,0.3683633797625527,0.3683633797625527
42,growth_vol_b,protein_mg_cm2,0.3655784525467641,0.3655784525467641
43,Morula_zebrina,Zafra_hahajimana,0.36428775197448826,0.36428775197448826
44,Athanas_djiboutensis,Vexillum_interruptum,0.36280238437631085,0.36280238437631085
45,Galathea_mauritiana,Paragobiodon_modestus,0.361500923675904,0.361500923675904
46,carb_mg_cm2,zoox_cells_cm2,0.36070657577277476,0.36070657577277476
47,Diala_semistriata,Menaethius_monoceros,0.3600585625684176,0.3600585625684176
48,Athanas_djiboutensis,Cellana_taitensis,0.3554785370630758,0.3554785370630758
49,carb_mg_cm2,Caracanthus_maculatus,0.3478336277865687,0.3478336277865687
50,Coralliogalathea_humilis,Luniella_pugil,0.3470872872368171,0.3470872872368171
51,Dascyllus_flavicaudus,Periclimenes_watamuae,0.34606051008193883,0.34606051008193883
