reef,treatment,richness,shannon_diversity,simpson_diversity,evenness
Reef_1-1,1,5,1.3296007678605801,0.6925207756232687,0.7420643176136879
Reef_1-2,6,7,1.5310956298561258,0.7424793388429751,0.7363013574400656
Reef_1-3,1,4,1.1682824501765625,0.64,0.7258946997275975
Reef_1-4,3,4,1.1907825152919045,0.65625,0.7398747762136255
Reef_1-5,1,1,0,0,0
Reef_1-6,3,5,1.2149867127311633,0.6606648199445984,0.6780969954938298
Reef_1-7,1,5,1.3030924037617193,0.6419753086419753,0.7272697179176241
Reef_1-8,1,5,1.4811672841987038,0.7448015122873346,0.8266552010113479
Reef_1-9,1,4,1.1839637727244874,0.6652892561983471,0.7356380532467205
Reef_2-1,1,4,1.2206072645530175,0.66,0.758405934844036
Reef_2-2,1,3,0.8760057656431737,0.5408163265306123,0.6319045869417731
Reef_2-3,1,2,0.45056120886630463,0.2777777777777777,0.41011848630651804
Reef_2-4,3,4,1.3397942802855756,0.7288888888888889,0.8324609914645803
Reef_2-5,1,1,0,0,0
Reef_2-6,6,5,1.425081596141259,0.725897920604915,0.7953531825090496
Reef_2-7,1,3,1.0789922078775833,0.653061224489796,0.7783283537314115
Reef_2-8,1,3,0.9556998911125343,0.5714285714285714,0.6893917467430878
Reef_2-9,3,5,1.278598385440088,0.6313799621928167,0.7135993460053807
Reef_3-1,1,2,0.5982695885852573,0.40816326530612246,0.5445684476282007
Reef_3-2,1,2,0.5623351446188083,0.375,0.5118595071429147
Reef_3-3,1,4,1.190161976585674,0.6666666666666667,0.739489213837198
Reef_3-4,1,2,0.3250829733914482,0.17999999999999994,0.29590327428938457
Reef_3-5,6,3,1.0256050090032982,0.6164098292378175,0.7398176301999695
Reef_3-6,1,4,0.9911388966130941,0.5306122448979591,0.6158292214665827
Reef_3-7,1,4,1.2123138802671547,0.671875,0.7532529654615017
Reef_3-8,3,3,0.9167571541585005,0.5697589481373264,0.6613005000019738
Reef_3-9,3,6,1.3552680064564238,0.7047994740302432,0.6964699819847128
