coral_id,in_CAFI,in_Growth,in_Physio,in_all_three
POC100,TRUE,FALSE,FALSE,FALSE
POC101,TRUE,TRUE,TRUE,TRUE
POC102,TRUE,TRUE,TRUE,TRUE
POC103,TRUE,TRUE,TRUE,TRUE
POC104,TRUE,FALSE,FALSE,FALSE
POC105,TRUE,TRUE,TRUE,TRUE
POC106,TRUE,TRUE,TRUE,TRUE
POC107,TRUE,TRUE,TRUE,TRUE
POC108,TRUE,TRUE,TRUE,TRUE
POC109,TRUE,TRUE,TRUE,TRUE
POC110,TRUE,FALSE,FALSE,FALSE
POC111,TRUE,TRUE,TRUE,TRUE
POC112,TRUE,TRUE,TRUE,TRUE
POC113,TRUE,TRUE,TRUE,TRUE
POC114,TRUE,FALSE,FALSE,FALSE
POC61,TRUE,TRUE,TRUE,TRUE
POC62,TRUE,TRUE,TRUE,TRUE
POC63,TRUE,TRUE,TRUE,TRUE
POC64,TRUE,TRUE,TRUE,TRUE
POC65,TRUE,TRUE,TRUE,TRUE
POC66,TRUE,FALSE,FALSE,FALSE
POC67,TRUE,TRUE,TRUE,TRUE
POC68,TRUE,FALSE,FALSE,FALSE
POC69,TRUE,TRUE,TRUE,TRUE
POC70,TRUE,TRUE,TRUE,TRUE
POC71,TRUE,TRUE,TRUE,TRUE
POC72,TRUE,TRUE,TRUE,TRUE
POC73,TRUE,TRUE,TRUE,TRUE
POC74,TRUE,TRUE,TRUE,TRUE
POC75,TRUE,TRUE,TRUE,TRUE
POC76,TRUE,TRUE,TRUE,TRUE
POC77,TRUE,TRUE,TRUE,TRUE
POC78,TRUE,TRUE,TRUE,TRUE
POC79,TRUE,FALSE,FALSE,FALSE
POC80,TRUE,TRUE,TRUE,TRUE
POC81,TRUE,TRUE,TRUE,TRUE
POC82,TRUE,TRUE,TRUE,TRUE
POC83,TRUE,FALSE,FALSE,FALSE
POC84,TRUE,TRUE,TRUE,TRUE
POC85,TRUE,FALSE,FALSE,FALSE
POC86,TRUE,TRUE,TRUE,TRUE
POC87,TRUE,TRUE,TRUE,TRUE
POC88,TRUE,TRUE,TRUE,TRUE
POC89,TRUE,TRUE,TRUE,TRUE
POC90,TRUE,FALSE,FALSE,FALSE
POC91,TRUE,TRUE,TRUE,TRUE
POC92,TRUE,TRUE,TRUE,TRUE
POC93,TRUE,TRUE,TRUE,TRUE
POC94,TRUE,TRUE,TRUE,TRUE
POC95,TRUE,TRUE,TRUE,TRUE
POC96,TRUE,TRUE,TRUE,TRUE
POC97,TRUE,TRUE,TRUE,TRUE
POC98,TRUE,TRUE,TRUE,TRUE
POC99,TRUE,TRUE,TRUE,TRUE
