species,total_count,n_corals
Fennera chacei,1216,48
Galeropsis monodonta,1028,53
Periclimenes watamuae,327,35
Trapezia serenei,314,54
Harpiliopsis spinigera,266,52
Calcinus latens,224,44
Dascyllus aruanus,197,39
Paragobiodon modestus,156,41
Apataxia cerithiiformis,145,37
Galathea mauritiana,130,30
Athanas djiboutensis,115,27
Dascyllus flavicaudus,113,28
Alpheus lottini,111,40
Diala albugo,92,34
Synalpheus charon,92,50
Cerithium zebrum,91,37
Chlorodiella barbata,76,22
Hargeria rapax,67,28
Diala semistriata,57,25
Luniella pugil,50,31
Mitrella moleculina,39,14
Strigatella assimilis,36,23
Menaethius monoceros,35,18
Harpiliopsis beaupresii,28,13
Caracanthus maculatus,27,22
Morula zebrina,26,14
Carinomitra typha,25,16
Pascula muricata,25,11
Coralliogalathea humilis,22,12
Stomatolina rubra,20,13
Zafra hahajimana,20,11
Xanthias lamarckii,19,17
Alpheus diadema,18,12
Cellana taitensis,18,16
Halichoeres trimaculatus,18,13
Macteola interrupta,14,10
Trapezia tigrina,14,10
Lucilina pacifica,13,8
Trapezia guttata,12,6
Euplica varians,11,8
Vexillum interruptum,11,10
Echinometra mathaei,9,6
Paragobiodon lacunicolus,9,6
Stomatella auricula,9,6
Arete indicus,8,3
Cystiscus garretti,8,8
Thinora maldivensis,8,4
Alpheus dolerus,7,7
Breviturma dentata,7,7
Trapezia bidentata,7,6
Cerithium punctatum,6,6
Thalamita coeruleipes,6,5
Breviturma pica,5,5
Carinomitra saltata,5,4
Cyclodius nitidus,5,4
Mastonia vulpina,5,4
Medaeus ornatus,5,5
Phylladiorhynchus integrirostris,5,3
Trapezia punctimanus,5,3
Chlorodiella laevissima,4,4
Eratoena schmeltziana,4,3
Harpiliopsis depressa,4,1
Monetaria obvelata,4,2
Pomacentrus pavo,4,2
Trapezia areolata,4,4
Alpheus pachychirus,3,3
Cerithium columna,3,2
Domecia glabra,3,2
Gobiodon unicolor,3,2
Kermia maculosa,3,3
Ophiactis savignyi,3,1
Parelasmopus suensis,3,3
Prodotia iostoma,3,2
Rissoina heronensis,3,3
Thor amboinensis,3,2
Alpheus paracrinitus,2,2
Alpheus parvirostris,2,2
Atys semistriatus,2,2
Chlorocurtis jactans,2,1
Chromis atripectoralis,2,1
Haurakia marmorata,2,2
Liomera bella,2,2
Morula uva,2,2
Neocirrhites armatus,2,2
Paracirrhites arcatus,2,2
Purpuradusta fimbriata,2,1
Saron marmoratus,2,1
Alpheus clypeatus,1,1
Antennatus tuberosus,1,1
Astralium confragosum,1,1
Bittium glareosum,1,1
Caducifer decapitatus,1,1
Calcinus nitidus,1,1
Coriophora ustulata,1,1
Cyclodius ungulatus,1,1
Diadema savignyi,1,1
Domiporta filaris,1,1
Drupella margariticola,1,1
Eucithara paucicostata,1,1
Galathea spinosorostris,1,1
Graphicomassa margarita,1,1
Lienardia fallax,1,1
Ophiocoma schoenleinii,1,1
Ophiocomella sexradia,1,1
Ophiolepis cincta,1,1
Ophiomastix elegans,1,1
Peristernia nassatula,1,1
Pseudocheilinus hexataenia,1,1
Quadrimaera quadrimana,1,1
Scabricola olivaeformis,1,1
Stegastes nigricans,1,1
Tetralia ocucaerulea,1,1
Thalamita admete,1,1
Trapezia bella,1,1
Trapezia speciosa,1,1
Vexillum aureolatum,1,1
Vexillum roseum,1,1
Vexillum tusum,1,1
