feature,loading
Dascyllus flavicaudus,0.3265309726327883
Diala albugo,-0.30921443940638227
Harpiliopsis spinigera,0.2991799547116726
Chlorodiella barbata,-0.29456704038551945
Trapezia serenei,-0.2896658570125462
Athanas djiboutensis,-0.2718648132027977
Dascyllus aruanus,0.25175557214015465
Galathea mauritiana,-0.2439015062195493
Fennera chacei,0.2324583902703364
Periclimenes watamuae,0.2290812197064791
Diala semistriata,-0.19282100801713178
Apataxia cerithiiformis,-0.18871193377161818
Calcinus latens,-0.18696411694639414
Synalpheus charon,-0.18651521453911907
Strigatella assimilis,-0.18649545101967932
Alpheus lottini,-0.16811430819058587
Cerithium zebrum,-0.10501201995042608
Paragobiodon modestus,-0.094454902037307
Hargeria rapax,-0.06689465457545025
Galeropsis monodonta,0.05850418531157501
Luniella pugil,0.029314817973944453
