from,to,r,abs_r,Effect
protein_mg_cm2,carb_mg_cm2,0.783121484396287,0.783121484396287,Positive
Coralliogalathea_humilis,Stomatolina_rubra,0.6486043681256771,0.6486043681256771,Positive
Diala_semistriata,Stomatolina_rubra,0.6185346376690657,0.6185346376690657,Positive
Diala_semistriata,Mitrella_moleculina,0.5870366340662717,0.5870366340662717,Positive
carb_mg_cm2,afdw_mg_cm2,0.5480216888970936,0.5480216888970936,Positive
Galeropsis_monodonta,Trapezia_serenei,0.509916356510551,0.509916356510551,Positive
protein_mg_cm2,afdw_mg_cm2,0.509769859473865,0.509769859473865,Positive
zoox_cells_cm2,Galeropsis_monodonta,0.5054703609886436,0.5054703609886436,Positive
Cerithium_zebrum,Hargeria_rapax,0.4806236909878987,0.4806236909878987,Positive
Dascyllus_flavicaudus,Harpiliopsis_spinigera,0.47504636260746735,0.47504636260746735,Positive
Mitrella_moleculina,Stomatolina_rubra,0.45973313208236344,0.45973313208236344,Positive
Alpheus_diadema,Galathea_mauritiana,0.452467600082417,0.452467600082417,Positive
Cerithium_zebrum,Stomatolina_rubra,0.44923046810297806,0.44923046810297806,Positive
zoox_cells_cm2,Galathea_mauritiana,-0.4460202574261388,0.4460202574261388,Negative
Chlorodiella_barbata,Periclimenes_watamuae,0.4436355275544807,0.4436355275544807,Positive
Galathea_mauritiana,Luniella_pugil,0.43943052993764636,0.43943052993764636,Positive
Cerithium_zebrum,Coralliogalathea_humilis,0.4393494521890374,0.4393494521890374,Positive
Carinomitra_typha,Morula_zebrina,0.4348245168593045,0.4348245168593045,Positive
Dascyllus_aruanus,Synalpheus_charon,-0.43474860238511104,0.43474860238511104,Negative
Macteola_interrupta,Menaethius_monoceros,0.43176198809592536,0.43176198809592536,Positive
Caracanthus_maculatus,Harpiliopsis_spinigera,0.43121977799741823,0.43121977799741823,Positive
Alpheus_diadema,Trapezia_serenei,0.42498580071933056,0.42498580071933056,Positive
Coralliogalathea_humilis,Mitrella_moleculina,0.4187477954484617,0.4187477954484617,Positive
Fennera_chacei,Paragobiodon_modestus,-0.4168657547468068,0.4168657547468068,Negative
Coralliogalathea_humilis,Menaethius_monoceros,0.41031330099590535,0.41031330099590535,Positive
Diala_albugo,Strigatella_assimilis,0.40951435871125547,0.40951435871125547,Positive
Pascula_muricata,Synalpheus_charon,-0.4081911522224831,0.4081911522224831,Negative
protein_mg_cm2,Caracanthus_maculatus,0.406316429025545,0.406316429025545,Positive
growth_vol_b,Dascyllus_aruanus,0.4046241033308216,0.4046241033308216,Positive
Cellana_taitensis,Harpiliopsis_beaupresii,0.40368961492313804,0.40368961492313804,Positive
Paragobiodon_modestus,Strigatella_assimilis,0.3943332589081677,0.3943332589081677,Positive
Alpheus_diadema,Paragobiodon_modestus,0.3918025874674342,0.3918025874674342,Positive
Calcinus_latens,Harpiliopsis_beaupresii,0.39126154064875224,0.39126154064875224,Positive
protein_mg_cm2,Fennera_chacei,0.390108846398133,0.390108846398133,Positive
Coralliogalathea_humilis,Dascyllus_aruanus,0.38679577288743616,0.38679577288743616,Positive
Chlorodiella_barbata,Menaethius_monoceros,0.3836109979370503,0.3836109979370503,Positive
zoox_cells_cm2,Zafra_hahajimana,0.3811376829149901,0.3811376829149901,Positive
zoox_cells_cm2,Apataxia_cerithiiformis,-0.38104298715936424,0.38104298715936424,Negative
Harpiliopsis_spinigera,Periclimenes_watamuae,0.38021630487364916,0.38021630487364916,Positive
afdw_mg_cm2,Caracanthus_maculatus,0.3785803482991713,0.3785803482991713,Positive
Luniella_pugil,Mitrella_moleculina,0.37536082839525514,0.37536082839525514,Positive
Apataxia_cerithiiformis,Stomatolina_rubra,0.3749074878074476,0.3749074878074476,Positive
Coralliogalathea_humilis,Macteola_interrupta,0.37486273465950054,0.37486273465950054,Positive
growth_vol_b,Harpiliopsis_spinigera,0.3737163072851265,0.3737163072851265,Positive
Menaethius_monoceros,Stomatolina_rubra,0.37247291619997097,0.37247291619997097,Positive
Galathea_mauritiana,Trapezia_serenei,0.3683633797625527,0.3683633797625527,Positive
growth_vol_b,protein_mg_cm2,0.3655784525467641,0.3655784525467641,Positive
