sp1,sp2,freq
Alpheus diadema,Alpheus lottini,0.14
Alpheus diadema,Apataxia cerithiiformis,0.025
Alpheus lottini,Apataxia cerithiiformis,0.04
Alpheus diadema,Athanas djiboutensis,0.035
Alpheus lottini,Athanas djiboutensis,0.02
Apataxia cerithiiformis,Athanas djiboutensis,0.04
Alpheus diadema,Calcinus latens,0.015
Alpheus lottini,Calcinus latens,0.065
Apataxia cerithiiformis,Calcinus latens,0.035
Athanas djiboutensis,Calcinus latens,0.02
Alpheus diadema,Caracanthus maculatus,0.025
Alpheus lottini,Caracanthus maculatus,0.03
Apataxia cerithiiformis,Caracanthus maculatus,0.4
Athanas djiboutensis,Caracanthus maculatus,0.03
Calcinus latens,Caracanthus maculatus,0.045
Alpheus diadema,Carinomitra typha,0.915
Alpheus lottini,Carinomitra typha,0.005
Apataxia cerithiiformis,Carinomitra typha,0.05
Athanas djiboutensis,Carinomitra typha,0.06
Calcinus latens,Carinomitra typha,0.06
Caracanthus maculatus,Carinomitra typha,0.01
Alpheus diadema,Cellana taitensis,0.25
Alpheus lottini,Cellana taitensis,0.01
Apataxia cerithiiformis,Cellana taitensis,0.025
Athanas djiboutensis,Cellana taitensis,0.04
Calcinus latens,Cellana taitensis,0.03
Caracanthus maculatus,Cellana taitensis,0.2
Carinomitra typha,Cellana taitensis,0.135
Alpheus diadema,Cerithium zebrum,0.02
Alpheus lottini,Cerithium zebrum,0.015
Apataxia cerithiiformis,Cerithium zebrum,0.015
Athanas djiboutensis,Cerithium zebrum,0.01
Calcinus latens,Cerithium zebrum,0.065
Caracanthus maculatus,Cerithium zebrum,0.115
Carinomitra typha,Cerithium zebrum,0.03
Cellana taitensis,Cerithium zebrum,0.04
Alpheus diadema,Chlorodiella barbata,0.38
Alpheus lottini,Chlorodiella barbata,0.015
Apataxia cerithiiformis,Chlorodiella barbata,0.035
Athanas djiboutensis,Chlorodiella barbata,0.065
Calcinus latens,Chlorodiella barbata,0.1
Caracanthus maculatus,Chlorodiella barbata,0.405
Carinomitra typha,Chlorodiella barbata,0.025
Cellana taitensis,Chlorodiella barbata,0.1
Cerithium zebrum,Chlorodiella barbata,0.115
Alpheus diadema,Coralliogalathea humilis,0.38
Alpheus lottini,Coralliogalathea humilis,0.01
Apataxia cerithiiformis,Coralliogalathea humilis,0.12
Athanas djiboutensis,Coralliogalathea humilis,0.36
Calcinus latens,Coralliogalathea humilis,0.02
Caracanthus maculatus,Coralliogalathea humilis,0.035
Carinomitra typha,Coralliogalathea humilis,0.225
Cellana taitensis,Coralliogalathea humilis,0.07
Cerithium zebrum,Coralliogalathea humilis,0.085
Chlorodiella barbata,Coralliogalathea humilis,0.17
Alpheus diadema,Dascyllus aruanus,0.155
Alpheus lottini,Dascyllus aruanus,0.11
Apataxia cerithiiformis,Dascyllus aruanus,0.41
Athanas djiboutensis,Dascyllus aruanus,0.01
Calcinus latens,Dascyllus aruanus,0.03
Caracanthus maculatus,Dascyllus aruanus,0.57
Carinomitra typha,Dascyllus aruanus,0.045
Cellana taitensis,Dascyllus aruanus,0.025
Cerithium zebrum,Dascyllus aruanus,0.085
Chlorodiella barbata,Dascyllus aruanus,0.38
Coralliogalathea humilis,Dascyllus aruanus,0.11
Alpheus diadema,Dascyllus flavicaudus,0.17
Alpheus lottini,Dascyllus flavicaudus,0.105
Apataxia cerithiiformis,Dascyllus flavicaudus,0.22
Athanas djiboutensis,Dascyllus flavicaudus,0.02
Calcinus latens,Dascyllus flavicaudus,0.09
Caracanthus maculatus,Dascyllus flavicaudus,0.64
Carinomitra typha,Dascyllus flavicaudus,0.03
Cellana taitensis,Dascyllus flavicaudus,0.035
Cerithium zebrum,Dascyllus flavicaudus,0.015
Chlorodiella barbata,Dascyllus flavicaudus,0.275
Coralliogalathea humilis,Dascyllus flavicaudus,0.025
Dascyllus aruanus,Dascyllus flavicaudus,0.515
Alpheus diadema,Diala albugo,0.055
Alpheus lottini,Diala albugo,0.095
Apataxia cerithiiformis,Diala albugo,0.18
Athanas djiboutensis,Diala albugo,0.1
Calcinus latens,Diala albugo,0.01
Caracanthus maculatus,Diala albugo,0.1
Carinomitra typha,Diala albugo,0.09
Cellana taitensis,Diala albugo,0.01
Cerithium zebrum,Diala albugo,0.19
