habitat,sp1,sp2,weight,sign
1,Alpheus diadema,Cellana taitensis,0.7450549450549451,pos
1,Alpheus diadema,Diala semistriata,0.7626373626373627,pos
1,Alpheus diadema,Hargeria rapax,0.8021978021978022,pos
1,Apataxia cerithiiformis,Carinomitra typha,0.7626373626373627,pos
1,Apataxia cerithiiformis,Stomatolina rubra,0.8945054945054944,pos
1,Apataxia cerithiiformis,Zafra hahajimana,0.8945054945054944,pos
1,Carinomitra typha,Stomatolina rubra,0.9032967032967033,pos
1,Carinomitra typha,Zafra hahajimana,0.9032967032967033,pos
1,Cerithium zebrum,Harpiliopsis beaupresii,0.7626373626373627,pos
1,Chlorodiella barbata,Menaethius monoceros,0.9296703296703297,pos
1,Coralliogalathea humilis,Pascula muricata,1,pos
1,Coralliogalathea humilis,Trapezia tigrina,0.7582417582417583,pos
1,Coralliogalathea humilis,Xanthias lamarckii,0.9076923076923077,pos
1,Galathea mauritiana,Macteola interrupta,0.7758241758241758,pos
1,Pascula muricata,Trapezia tigrina,0.7582417582417583,pos
1,Pascula muricata,Xanthias lamarckii,0.9076923076923077,pos
1,Stomatolina rubra,Zafra hahajimana,1,pos
3,Alpheus diadema,Caracanthus maculatus,0.7535714285714284,pos
3,Alpheus diadema,Morula zebrina,0.9249999999999998,pos
3,Alpheus diadema,Pascula muricata,0.9249999999999998,pos
3,Alpheus diadema,Zafra hahajimana,0.9999999999999998,pos
3,Caracanthus maculatus,Halichoeres trimaculatus,0.7249999999999999,pos
3,Caracanthus maculatus,Zafra hahajimana,0.7535714285714284,pos
3,Carinomitra typha,Morula zebrina,0.7357142857142855,pos
3,Diala semistriata,Stomatolina rubra,0.914285714285714,pos
3,Macteola interrupta,Menaethius monoceros,0.757142857142857,pos
3,Macteola interrupta,Mitrella moleculina,0.9964285714285712,pos
3,Menaethius monoceros,Mitrella moleculina,0.7642857142857142,pos
3,Morula zebrina,Pascula muricata,0.8464285714285712,pos
3,Morula zebrina,Zafra hahajimana,0.9249999999999998,pos
3,Pascula muricata,Zafra hahajimana,0.9249999999999998,pos
6,Caracanthus maculatus,Vexillum interruptum,0.9535714285714285,pos
6,Coralliogalathea humilis,Pascula muricata,0.7392857142857142,pos
6,Diala albugo,Zafra hahajimana,-0.7607142857142856,neg
6,Halichoeres trimaculatus,Harpiliopsis beaupresii,0.9107142857142856,pos
6,Menaethius monoceros,Periclimenes watamuae,-0.7428571428571428,neg
