sp1,sp2,weight,sign
1,7,0.5174385363064608,pos
1,27,0.416123499142367,pos
4,35,-0.46056794358681147,neg
5,31,-0.4545454545454545,neg
6,22,0.4681913474366304,pos
8,21,0.5018867924528302,pos
10,16,-0.42100247760625115,neg
10,18,-0.5419096626643797,neg
10,25,0.41147322279397747,pos
11,24,0.42611015818562986,pos
11,29,0.43609681722889265,pos
13,14,-0.4931961120640365,neg
13,22,0.4978463884124261,pos
16,22,0.42321326472269866,pos
16,25,-0.5230036211168286,neg
17,22,-0.4969315799504478,neg
19,29,0.46590432628168477,pos
19,37,0.48130360205831896,pos
22,30,0.46941109205260145,pos
26,29,0.4213074137602439,pos
27,29,0.47657709167143125,pos
29,37,0.4864112826376977,pos
