rank,from,to,r,abs_weight
1,zoox_cells_cm2,Galathea_mauritiana,-0.44602025742900503,0.44602025742900503
2,Dascyllus_aruanus,Synalpheus_charon,-0.4347486023832465,0.4347486023832465
3,Fennera_chacei,Paragobiodon_modestus,-0.41686575472740134,0.41686575472740134
4,Pascula_muricata,Synalpheus_charon,-0.40819115221702684,0.40819115221702684
5,zoox_cells_cm2,Apataxia_cerithiiformis,-0.3810429871571423,0.3810429871571423
6,zoox_cells_cm2,Stomatolina_rubra,-0.3432480908723577,0.3432480908723577
7,carb_mg_cm2,Luniella_pugil,-0.3427413534864124,0.3427413534864124
8,Dascyllus_flavicaudus,Galathea_mauritiana,-0.3374221914876626,0.3374221914876626
9,protein_mg_cm2,Luniella_pugil,-0.33314368953573986,0.33314368953573986
10,Dascyllus_flavicaudus,Diala_albugo,-0.31757708638474047,0.31757708638474047
11,growth_vol_b,Synalpheus_charon,-0.3127873418788688,0.3127873418788688
12,Alpheus_diadema,Fennera_chacei,-0.3080921355265195,0.3080921355265195
13,Caracanthus_maculatus,Morula_zebrina,-0.30650658126280117,0.30650658126280117
14,Dascyllus_aruanus,Trapezia_serenei,-0.3025970084570528,0.3025970084570528
