rank,from,to,r,Effect,abs_weight
1,protein_mg_cm2,carb_mg_cm2,0.7831214843953573,Positive,0.7831214843953573
2,Coralliogalathea_humilis,Stomatolina_rubra,0.6486043681254294,Positive,0.6486043681254294
3,Diala_semistriata,Stomatolina_rubra,0.6185346376678166,Positive,0.6185346376678166
4,Diala_semistriata,Mitrella_moleculina,0.587036634066992,Positive,0.587036634066992
5,carb_mg_cm2,afdw_mg_cm2,0.5480216907568519,Positive,0.5480216907568519
6,Galeropsis_monodonta,Trapezia_serenei,0.5099163565107598,Positive,0.5099163565107598
7,protein_mg_cm2,afdw_mg_cm2,0.5097698645993316,Positive,0.5097698645993316
8,zoox_cells_cm2,Galeropsis_monodonta,0.5054703609887606,Positive,0.5054703609887606
9,Cerithium_zebrum,Hargeria_rapax,0.48062369098546276,Positive,0.48062369098546276
10,Dascyllus_flavicaudus,Harpiliopsis_spinigera,0.4750463626074389,Positive,0.4750463626074389
11,Mitrella_moleculina,Stomatolina_rubra,0.4597331320824726,Positive,0.4597331320824726
12,Alpheus_diadema,Galathea_mauritiana,0.45246760008373976,Positive,0.45246760008373976
13,Cerithium_zebrum,Stomatolina_rubra,0.44923046810604805,Positive,0.44923046810604805
14,zoox_cells_cm2,Galathea_mauritiana,-0.44602025742900503,Negative,0.44602025742900503
15,Chlorodiella_barbata,Periclimenes_watamuae,0.44363552755251934,Positive,0.44363552755251934
16,Galathea_mauritiana,Luniella_pugil,0.43943052993729514,Positive,0.43943052993729514
17,Cerithium_zebrum,Coralliogalathea_humilis,0.4393494521884904,Positive,0.4393494521884904
18,Carinomitra_typha,Morula_zebrina,0.43482451685937185,Positive,0.43482451685937185
19,Dascyllus_aruanus,Synalpheus_charon,-0.4347486023832465,Negative,0.4347486023832465
20,Macteola_interrupta,Menaethius_monoceros,0.43176198809381494,Positive,0.43176198809381494
21,Caracanthus_maculatus,Harpiliopsis_spinigera,0.43121977799709504,Positive,0.43121977799709504
22,Alpheus_diadema,Trapezia_serenei,0.4249858007186267,Positive,0.4249858007186267
23,Coralliogalathea_humilis,Mitrella_moleculina,0.4187477954478385,Positive,0.4187477954478385
24,Fennera_chacei,Paragobiodon_modestus,-0.41686575472740134,Negative,0.41686575472740134
25,Coralliogalathea_humilis,Menaethius_monoceros,0.410313300995295,Positive,0.410313300995295
26,Diala_albugo,Strigatella_assimilis,0.40951435871484343,Positive,0.40951435871484343
27,Pascula_muricata,Synalpheus_charon,-0.40819115221702684,Negative,0.40819115221702684
28,growth_vol_b,Dascyllus_aruanus,0.4076065213643809,Positive,0.4076065213643809
29,protein_mg_cm2,Caracanthus_maculatus,0.40631642902571063,Positive,0.40631642902571063
30,Cellana_taitensis,Harpiliopsis_beaupresii,0.40368961492313693,Positive,0.40368961492313693
31,Paragobiodon_modestus,Strigatella_assimilis,0.3943332589085763,Positive,0.3943332589085763
32,Alpheus_diadema,Paragobiodon_modestus,0.39180258746861507,Positive,0.39180258746861507
33,Calcinus_latens,Harpiliopsis_beaupresii,0.39126154065251756,Positive,0.39126154065251756
34,protein_mg_cm2,Fennera_chacei,0.3901088463952716,Positive,0.3901088463952716
35,Coralliogalathea_humilis,Dascyllus_aruanus,0.3867957728878685,Positive,0.3867957728878685
36,Chlorodiella_barbata,Menaethius_monoceros,0.38361099793670445,Positive,0.38361099793670445
37,zoox_cells_cm2,Zafra_hahajimana,0.3811376829138168,Positive,0.3811376829138168
38,zoox_cells_cm2,Apataxia_cerithiiformis,-0.3810429871571423,Negative,0.3810429871571423
39,growth_vol_b,Harpiliopsis_spinigera,0.38021941917024266,Positive,0.38021941917024266
40,Harpiliopsis_spinigera,Periclimenes_watamuae,0.3802163048736057,Positive,0.3802163048736057
