rank,from,to,r,abs_weight
1,protein_mg_cm2,carb_mg_cm2,0.7831214843953573,0.7831214843953573
2,Coralliogalathea_humilis,Stomatolina_rubra,0.6486043681254294,0.6486043681254294
3,Diala_semistriata,Stomatolina_rubra,0.6185346376678166,0.6185346376678166
4,Diala_semistriata,Mitrella_moleculina,0.587036634066992,0.587036634066992
5,carb_mg_cm2,afdw_mg_cm2,0.5480216907568519,0.5480216907568519
6,Galeropsis_monodonta,Trapezia_serenei,0.5099163565107598,0.5099163565107598
7,protein_mg_cm2,afdw_mg_cm2,0.5097698645993316,0.5097698645993316
8,zoox_cells_cm2,Galeropsis_monodonta,0.5054703609887606,0.5054703609887606
9,Cerithium_zebrum,Hargeria_rapax,0.48062369098546276,0.48062369098546276
10,Dascyllus_flavicaudus,Harpiliopsis_spinigera,0.4750463626074389,0.4750463626074389
11,Mitrella_moleculina,Stomatolina_rubra,0.4597331320824726,0.4597331320824726
12,Alpheus_diadema,Galathea_mauritiana,0.45246760008373976,0.45246760008373976
13,Cerithium_zebrum,Stomatolina_rubra,0.44923046810604805,0.44923046810604805
14,Chlorodiella_barbata,Periclimenes_watamuae,0.44363552755251934,0.44363552755251934
15,Galathea_mauritiana,Luniella_pugil,0.43943052993729514,0.43943052993729514
16,Cerithium_zebrum,Coralliogalathea_humilis,0.4393494521884904,0.4393494521884904
17,Carinomitra_typha,Morula_zebrina,0.43482451685937185,0.43482451685937185
18,Macteola_interrupta,Menaethius_monoceros,0.43176198809381494,0.43176198809381494
19,Caracanthus_maculatus,Harpiliopsis_spinigera,0.43121977799709504,0.43121977799709504
20,Alpheus_diadema,Trapezia_serenei,0.4249858007186267,0.4249858007186267
21,Coralliogalathea_humilis,Mitrella_moleculina,0.4187477954478385,0.4187477954478385
22,Coralliogalathea_humilis,Menaethius_monoceros,0.410313300995295,0.410313300995295
23,Diala_albugo,Strigatella_assimilis,0.40951435871484343,0.40951435871484343
24,growth_vol_b,Dascyllus_aruanus,0.4076065213643809,0.4076065213643809
25,protein_mg_cm2,Caracanthus_maculatus,0.40631642902571063,0.40631642902571063
26,Cellana_taitensis,Harpiliopsis_beaupresii,0.40368961492313693,0.40368961492313693
27,Paragobiodon_modestus,Strigatella_assimilis,0.3943332589085763,0.3943332589085763
28,Alpheus_diadema,Paragobiodon_modestus,0.39180258746861507,0.39180258746861507
29,Calcinus_latens,Harpiliopsis_beaupresii,0.39126154065251756,0.39126154065251756
30,protein_mg_cm2,Fennera_chacei,0.3901088463952716,0.3901088463952716
31,Coralliogalathea_humilis,Dascyllus_aruanus,0.3867957728878685,0.3867957728878685
32,Chlorodiella_barbata,Menaethius_monoceros,0.38361099793670445,0.38361099793670445
33,zoox_cells_cm2,Zafra_hahajimana,0.3811376829138168,0.3811376829138168
34,growth_vol_b,Harpiliopsis_spinigera,0.38021941917024266,0.38021941917024266
35,Harpiliopsis_spinigera,Periclimenes_watamuae,0.3802163048736057,0.3802163048736057
36,afdw_mg_cm2,Caracanthus_maculatus,0.37858035110580845,0.37858035110580845
37,Luniella_pugil,Mitrella_moleculina,0.3753608283933047,0.3753608283933047
38,Apataxia_cerithiiformis,Stomatolina_rubra,0.3749074878103671,0.3749074878103671
