habitat,sp1,sp2,weight,sign
1,Alpheus diadema,Apataxia cerithiiformis,0.0440735866758135,pos
1,Alpheus diadema,Calcinus latens,-0.06282664552128706,neg
1,Alpheus diadema,Cellana taitensis,0.04308352673367418,pos
1,Alpheus diadema,Luniella pugil,0.04276838782470421,pos
1,Alpheus lottini,Galathea mauritiana,-0.05322177947344016,neg
1,Alpheus lottini,Harpiliopsis spinigera,0.0473753388886685,pos
1,Apataxia cerithiiformis,Stomatolina rubra,0.04828549308853263,pos
1,Apataxia cerithiiformis,Zafra hahajimana,0.045238953345748,pos
1,Athanas djiboutensis,Caracanthus maculatus,0.04282771871382367,pos
1,Athanas djiboutensis,Mitrella moleculina,-0.04891355351075629,neg
1,Calcinus latens,Vexillum interruptum,-0.04583980846885606,neg
1,Caracanthus maculatus,Cellana taitensis,-0.04526928128229603,neg
1,Caracanthus maculatus,Chlorodiella barbata,-0.04806971807124204,neg
1,Caracanthus maculatus,Hargeria rapax,-0.05567576781289506,neg
1,Carinomitra typha,Galeropsis monodonta,-0.05093839145225725,neg
1,Carinomitra typha,Harpiliopsis beaupresii,0.0473606731120899,pos
1,Carinomitra typha,Paragobiodon modestus,-0.044778789467134844,neg
1,Carinomitra typha,Stomatolina rubra,0.04584220570597257,pos
1,Carinomitra typha,Zafra hahajimana,0.045953161135597685,pos
1,Cellana taitensis,Hargeria rapax,0.04225535346878777,pos
1,Cerithium zebrum,Harpiliopsis beaupresii,0.050158297818391984,pos
1,Cerithium zebrum,Paragobiodon modestus,-0.045239069148667724,neg
1,Chlorodiella barbata,Fennera chacei,-0.04917577299300929,neg
1,Chlorodiella barbata,Menaethius monoceros,0.051547277025791746,pos
1,Chlorodiella barbata,Strigatella assimilis,-0.04692252152769403,neg
1,Coralliogalathea humilis,Pascula muricata,0.0732399794430457,pos
1,Coralliogalathea humilis,Periclimenes watamuae,0.05155713276411433,pos
1,Coralliogalathea humilis,Trapezia tigrina,0.04542369427335867,pos
1,Coralliogalathea humilis,Xanthias lamarckii,0.05189686674053891,pos
1,Dascyllus aruanus,Paragobiodon modestus,0.04846014201258776,pos
1,Dascyllus aruanus,Synalpheus charon,-0.046417110727658265,neg
1,Dascyllus aruanus,Trapezia serenei,-0.043657752396835524,neg
1,Diala albugo,Luniella pugil,-0.05491018943985308,neg
1,Diala semistriata,Harpiliopsis spinigera,-0.05088984883045639,neg
1,Diala semistriata,Trapezia serenei,0.05059520504533148,pos
1,Fennera chacei,Macteola interrupta,0.044225278117208805,pos
1,Fennera chacei,Menaethius monoceros,-0.07059926713904274,neg
1,Galathea mauritiana,Macteola interrupta,0.05196391035308863,pos
1,Galathea mauritiana,Mitrella moleculina,0.04751694819676426,pos
1,Galeropsis monodonta,Hargeria rapax,-0.04625104551116575,neg
