min_abund,min_prev,n_species,var_PC1,slope,p_value,r2
10,10,38,0.12913358808699482,0.13457898215091074,0.0765846712106261,0.07922349396740483
20,10,31,0.14455209866404078,0.10658665703995444,0.17752181278773915,0.04634801029278726
30,10,23,0.16114479577547977,0.19859678287130272,0.01859817406861253,0.12548832546934707
40,10,20,0.16119376823051176,0.19093557327451627,0.027524933654405212,0.10471614105318303
50,10,20,0.16119376823051176,0.19093557327451627,0.027524933654405212,0.10471614105318303
10,15,26,0.1486491114663023,0.21901259881957405,0.006005672698472485,0.15667858336673016
20,15,24,0.1562550474387993,0.2140203445157386,0.01077406334421768,0.14608782694037595
30,15,22,0.16297701329287664,0.20766509740096672,0.01636384104356533,0.13305038046656412
40,15,20,0.16119376823051176,0.19093557327451627,0.027524933654405212,0.10471614105318303
50,15,20,0.16119376823051176,0.19093557327451627,0.027524933654405212,0.10471614105318303
10,20,22,0.16867295107198438,0.22012623181024163,0.00946679285330221,0.15298400049046226
20,20,22,0.16867295107198438,0.22012623181024163,0.00946679285330221,0.15298400049046226
30,20,21,0.1706911854409492,0.20935659686644803,0.015687760374169555,0.1349959663497994
40,20,20,0.16119376823051176,0.19093557327451627,0.027524933654405212,0.10471614105318303
50,20,20,0.16119376823051176,0.19093557327451627,0.027524933654405212,0.10471614105318303
10,25,19,0.16962223617291194,0.19005895105184734,0.02813640814496328,0.10385030534085908
20,25,19,0.16962223617291194,0.19005895105184734,0.02813640814496328,0.10385030534085908
30,25,19,0.16962223617291194,0.19005895105184734,0.02813640814496328,0.10385030534085908
40,25,19,0.16962223617291194,0.19005895105184734,0.02813640814496328,0.10385030534085908
50,25,19,0.16962223617291194,0.19005895105184734,0.02813640814496328,0.10385030534085908
