iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
1,Bootstrap,Jaccard (incidence),2,2.56397799887656,0.24270951711081085,0.004,19,3
1,Bootstrap,Gower (sqrt→z),2,9.214882117568532,0.5352858099541877,0.001,19,3
1,Bootstrap,Gower (prop→z),2,2.3173715427609065,0.22460871290293605,0.003,19,3
2,Bootstrap,Jaccard (incidence),2,1.8689900310736447,0.19948682033760973,0.033,18,3
2,Bootstrap,Gower (sqrt→z),2,8.628688374075672,0.5349900856132188,0.001,18,3
2,Bootstrap,Gower (prop→z),2,2.1582010897298125,0.2234578747821648,0.004,18,3
3,Bootstrap,Jaccard (incidence),2,1.6270299005007411,0.18859676148871382,0.091,17,3
3,Bootstrap,Gower (sqrt→z),2,7.585508188995045,0.5200715731467216,0.001,17,3
3,Bootstrap,Gower (prop→z),2,1.9567565137135938,0.21846708802652218,0.011,17,3
4,Bootstrap,Jaccard (incidence),2,1.2733398642355007,0.13731189440671657,0.237,19,3
4,Bootstrap,Gower (sqrt→z),2,7.777103407902901,0.4929360736779651,0.001,19,3
4,Bootstrap,Gower (prop→z),2,1.3621585477313645,0.14549620590023465,0.152,19,3
5,Bootstrap,Jaccard (incidence),2,1.5965997437180535,0.17551610367606169,0.119,18,3
5,Bootstrap,Gower (sqrt→z),2,7.11012771321425,0.48665746479296235,0.001,18,3
5,Bootstrap,Gower (prop→z),2,1.4074450374780585,0.158007715069387,0.122,18,3
6,Bootstrap,Jaccard (incidence),2,2.388233073684218,0.22989791013971,0.008,19,3
6,Bootstrap,Gower (sqrt→z),2,9.256498960635692,0.5364065435144733,0.001,19,3
6,Bootstrap,Gower (prop→z),2,2.185153390309843,0.21454300260109954,0.005,19,3
7,Bootstrap,Jaccard (incidence),2,2.08565086139718,0.20679387875501484,0.027,19,3
7,Bootstrap,Gower (sqrt→z),2,8.05691076584162,0.5017721580032285,0.001,19,3
7,Bootstrap,Gower (prop→z),2,1.558913426333437,0.16308479393053754,0.086,19,3
8,Bootstrap,Jaccard (incidence),2,1.7094903754396287,0.18562268982859148,0.065,18,3
8,Bootstrap,Gower (sqrt→z),2,7.869219173803221,0.5120116438456599,0.001,18,3
8,Bootstrap,Gower (prop→z),2,1.7873889758682295,0.19245333435613274,0.039,18,3
9,Bootstrap,Jaccard (incidence),2,2.038917295449918,0.213747245342245,0.042,18,3
9,Bootstrap,Gower (sqrt→z),2,7.264689113857431,0.4920312956023668,0.001,18,3
9,Bootstrap,Gower (prop→z),2,1.5824043010924635,0.1742274675993147,0.08,18,3
10,Bootstrap,Jaccard (incidence),2,1.858977753579779,0.20984111319487106,0.061,17,3
10,Bootstrap,Gower (sqrt→z),2,6.9285805769831885,0.49743622752433125,0.001,17,3
10,Bootstrap,Gower (prop→z),2,1.6363663477000503,0.1894739386704955,0.056,17,3
11,Bootstrap,Jaccard (incidence),2,1.3241401511874622,0.15005883049231408,0.177,18,3
11,Bootstrap,Gower (sqrt→z),2,7.619448571591476,0.5039501629648024,0.001,18,3
11,Bootstrap,Gower (prop→z),2,1.2583255535929307,0.14367193202549172,0.205,18,3
12,Bootstrap,Jaccard (incidence),2,1.8769722097318295,0.19003518182246576,0.047,19,3
12,Bootstrap,Gower (sqrt→z),2,7.8436015528633405,0.49506430256356726,0.001,19,3
12,Bootstrap,Gower (prop→z),2,1.5696648627025545,0.16402506098413855,0.094,19,3
13,Bootstrap,Jaccard (incidence),2,2.082941043970301,0.21735926730770325,0.019,18,3
13,Bootstrap,Gower (sqrt→z),2,9.213417199298002,0.5512587335930911,0.001,18,3
13,Bootstrap,Gower (prop→z),2,1.5635709330536036,0.17251157900154723,0.079,18,3
14,Bootstrap,Jaccard (incidence),2,1.8460743663445933,0.17020668529371039,0.041,21,3
14,Bootstrap,Gower (sqrt→z),2,9.231595512464677,0.5063514877868571,0.001,21,3
14,Bootstrap,Gower (prop→z),2,1.591939100991123,0.15029722941308826,0.086,21,3
15,Bootstrap,Jaccard (incidence),2,1.62934901251556,0.1888148237083048,0.087,17,3
15,Bootstrap,Gower (sqrt→z),2,6.667331950780373,0.48782981014810883,0.001,17,3
15,Bootstrap,Gower (prop→z),2,1.4892306864559113,0.17542587090157585,0.105,17,3
16,Bootstrap,Jaccard (incidence),2,1.2475248604392757,0.1721311598734775,0.25,15,3
16,Bootstrap,Gower (sqrt→z),2,6.47959472830718,0.5192151563711972,0.001,15,3
16,Bootstrap,Gower (prop→z),2,1.3628309820136253,0.1850960568486269,0.133,15,3
17,Bootstrap,Jaccard (incidence),2,1.4352979519018558,0.16063235491731487,0.156,18,3
17,Bootstrap,Gower (sqrt→z),2,7.168403213163179,0.4886969023820108,0.001,18,3
17,Bootstrap,Gower (prop→z),2,1.611534679608446,0.17686753508331038,0.064,18,3
18,Bootstrap,Jaccard (incidence),2,1.8211043120428823,0.1854276519403016,0.058,19,3
18,Bootstrap,Gower (sqrt→z),2,7.814371266174731,0.4941310112586547,0.001,19,3
18,Bootstrap,Gower (prop→z),2,1.442279473533755,0.1527469587800693,0.105,19,3
19,Bootstrap,Jaccard (incidence),2,1.6351111855242217,0.16970340601578224,0.092,19,3
19,Bootstrap,Gower (sqrt→z),2,7.731923978566311,0.4914798716991348,0.001,19,3
19,Bootstrap,Gower (prop→z),2,1.613507654095752,0.16783755858438737,0.057,19,3
20,Bootstrap,Jaccard (incidence),2,1.3274149071547767,0.15037413796862356,0.189,18,3
20,Bootstrap,Gower (sqrt→z),2,6.735283317657803,0.47314009615131347,0.001,18,3
20,Bootstrap,Gower (prop→z),2,1.2878610219384625,0.14654999876800293,0.175,18,3
21,Bootstrap,Jaccard (incidence),2,2.281254717416136,0.25978687452166177,0.023,16,3
21,Bootstrap,Gower (sqrt→z),2,8.859192245248268,0.5768006613752146,0.001,16,3
21,Bootstrap,Gower (prop→z),2,2.370887162310162,0.267266071468407,0.004,16,3
22,Bootstrap,Jaccard (incidence),2,1.5393462811562322,0.18026511989016147,0.136,17,3
22,Bootstrap,Gower (sqrt→z),2,6.984943765221791,0.49946169841541843,0.001,17,3
22,Bootstrap,Gower (prop→z),2,1.5085252582143622,0.17729573720874736,0.091,17,3
23,Bootstrap,Jaccard (incidence),2,1.5477060510716218,0.1710606028020008,0.113,18,3
