iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
1,Rarefied,Jaccard (incidence),2,2.261686896572101,0.42984064636106556,0.016,9,3
1,Rarefied,Gower (sqrt→z),2,4.497985234331907,0.5998925169572824,0.002,9,3
1,Rarefied,Gower (prop→z),2,2.795449868927525,0.48235252347111346,0.015,9,3
2,Rarefied,Jaccard (incidence),2,2.113015635116743,0.4132621110337164,0.022,9,3
2,Rarefied,Gower (sqrt→z),2,5.177147975998658,0.6331239193902914,0.006,9,3
2,Rarefied,Gower (prop→z),2,1.3949177475494283,0.31739336835762705,0.152,9,3
3,Rarefied,Jaccard (incidence),2,2.0620763992906848,0.4073578185385803,0.075,9,3
3,Rarefied,Gower (sqrt→z),2,4.800265762503018,0.61539771959803935,0.011,9,3
3,Rarefied,Gower (prop→z),2,1.9059185812735875,0.3884937244064101,0.062,9,3
4,Rarefied,Jaccard (incidence),2,3.1632719265405473,0.5132455559714524,0.01,9,3
4,Rarefied,Gower (sqrt→z),2,6.731552580490987,0.6917244216494137,0.005,9,3
4,Rarefied,Gower (prop→z),2,2.380432336750017,0.4424239889592008,0.007,9,3
5,Rarefied,Jaccard (incidence),2,3.313571218818877,0.5248331101329953,0.007,9,3
5,Rarefied,Gower (sqrt→z),2,5.733231406678956,0.656484540452498,0.003,9,3
5,Rarefied,Gower (prop→z),2,2.7331095317652534,0.47672375987620713,0.011,9,3
6,Rarefied,Jaccard (incidence),2,3.3085050899466264,0.5244515210456331,0.007,9,3
6,Rarefied,Gower (sqrt→z),2,5.60844812884713,0.6515051313433691,0.007,9,3
6,Rarefied,Gower (prop→z),2,2.143119617639265,0.41669643659250055,0.02,9,3
7,Rarefied,Jaccard (incidence),2,2.1542736089198096,0.41795872170846676,0.09,9,3
7,Rarefied,Gower (sqrt→z),2,5.44793493519075,0.6448836286009746,0.011,9,3
7,Rarefied,Gower (prop→z),2,2.0591616579365493,0.40701637883150926,0.051,9,3
8,Rarefied,Jaccard (incidence),2,1.372882625500008,0.31395368755021835,0.193,9,3
8,Rarefied,Gower (sqrt→z),2,4.2885900317170895,0.5883977577356974,0.017,9,3
8,Rarefied,Gower (prop→z),2,1.7097857953178472,0.36302835619777046,0.081,9,3
9,Rarefied,Jaccard (incidence),2,2.2606600909183068,0.42972935940510154,0.068,9,3
9,Rarefied,Gower (sqrt→z),2,5.081088066818052,0.6287628627240963,0.01,9,3
9,Rarefied,Gower (prop→z),2,2.024798332875241,0.4029611138078512,0.034,9,3
10,Rarefied,Jaccard (incidence),2,2.5318335713698197,0.457684335348302,0.072,9,3
10,Rarefied,Gower (sqrt→z),2,5.247433538405812,0.6362504788877771,0.008,9,3
10,Rarefied,Gower (prop→z),2,2.7586433344446286,0.47904396473803773,0.008,9,3
11,Rarefied,Jaccard (incidence),2,1.7112167111071823,0.3632218206122447,0.126,9,3
11,Rarefied,Gower (sqrt→z),2,4.690153514907837,0.6098907526118542,0.018,9,3
11,Rarefied,Gower (prop→z),2,1.9314978976924768,0.39166556242399575,0.048,9,3
12,Rarefied,Jaccard (incidence),2,1.4157644395117568,0.3206159338672276,0.192,9,3
12,Rarefied,Gower (sqrt→z),2,4.9146497181095645,0.6209560616263687,0.016,9,3
12,Rarefied,Gower (prop→z),2,1.6434500525695874,0.35392865950181523,0.106,9,3
13,Rarefied,Jaccard (incidence),2,2.1569823360289964,0.4182644413883965,0.123,9,3
13,Rarefied,Gower (sqrt→z),2,4.7436627462557475,0.612586433797033,0.016,9,3
13,Rarefied,Gower (prop→z),2,2.1669759959895822,0.419389599965533,0.033,9,3
14,Rarefied,Jaccard (incidence),2,1.2481822544231786,0.2938156085755454,0.374,9,3
14,Rarefied,Gower (sqrt→z),2,3.4906605737715624,0.5377974297218914,0.047,9,3
14,Rarefied,Gower (prop→z),2,1.125139152429487,0.2727518056613532,0.377,9,3
15,Rarefied,Jaccard (incidence),2,2.3039364147746966,0.4343823595540907,0.018,9,3
15,Rarefied,Gower (sqrt→z),2,5.103316489672794,0.6297812131831053,0.004,9,3
15,Rarefied,Gower (prop→z),2,2.000083684923404,0.4000100420227353,0.029,9,3
16,Rarefied,Jaccard (incidence),2,0.9256097215047631,0.2357875049152769,0.536,9,3
16,Rarefied,Gower (sqrt→z),2,3.1257417889288948,0.5102633928478791,0.045,9,3
16,Rarefied,Gower (prop→z),2,0.9553149214105281,0.24152689239466368,0.498,9,3
17,Rarefied,Jaccard (incidence),2,3.7506524652271285,0.5555985120767044,0.011,9,3
17,Rarefied,Gower (sqrt→z),2,5.640582169096031,0.6528011722717223,0.004,9,3
17,Rarefied,Gower (prop→z),2,2.708095682814963,0.47443067413324413,0.008,9,3
18,Rarefied,Jaccard (incidence),2,2.6068118931378477,0.46493657051849974,0.11,9,3
18,Rarefied,Gower (sqrt→z),2,4.93856805813181,0.6220980940099174,0.018,9,3
18,Rarefied,Gower (prop→z),2,1.7983070525435758,0.3747794863586931,0.107,9,3
19,Rarefied,Jaccard (incidence),2,1.627601870058971,0.35171605418126206,0.169,9,3
19,Rarefied,Gower (sqrt→z),2,4.320331951955035,0.5901825190866117,0.025,9,3
19,Rarefied,Gower (prop→z),2,1.916553047954415,0.38981640780868165,0.072,9,3
20,Rarefied,Jaccard (incidence),2,3.0305324805657228,0.5025314912625145,0.004,9,3
20,Rarefied,Gower (sqrt→z),2,5.382704458937006,0.6421202710061398,0.004,9,3
20,Rarefied,Gower (prop→z),2,2.474077517005628,0.4519624556502392,0.016,9,3
