iter,label,metric,df,F,R2,p,n_units,n_trt_lvls,n_each
1,N-sens (n=2/trt),Jaccard (incidence),2,1.6062432087819116,0.5171015599296189,0.4666666666666667,6,3,2
1,N-sens (n=2/trt),Gower (sqrt→z),2,2.350193944053729,0.610409236055079,0.13333333333333333,6,3,2
1,N-sens (n=2/trt),Gower (prop→z),2,1.4733117781619864,0.4955120377832507,0.3333333333333333,6,3,2
2,N-sens (n=2/trt),Jaccard (incidence),2,1.0192919692533413,0.40459461693732757,0.4666666666666667,6,3,2
2,N-sens (n=2/trt),Gower (sqrt→z),2,3.8026758381618793,0.7171239491569674,0.2,6,3,2
2,N-sens (n=2/trt),Gower (prop→z),2,1.139977839336881,0.4318134123516827,0.4666666666666667,6,3,2
3,N-sens (n=2/trt),Jaccard (incidence),2,4.096908991383201,0.7319949275020649,0.06666666666666667,6,3,2
3,N-sens (n=2/trt),Gower (sqrt→z),2,5.243528656994247,0.7775645249992033,0.06666666666666667,6,3,2
3,N-sens (n=2/trt),Gower (prop→z),2,2.528131696391541,0.6276189278161582,0.13333333333333333,6,3,2
4,N-sens (n=2/trt),Jaccard (incidence),2,1.795228492327959,0.5447963613168735,0.2,6,3,2
4,N-sens (n=2/trt),Gower (sqrt→z),2,2.585625730844689,0.6328591753582185,0.13333333333333333,6,3,2
4,N-sens (n=2/trt),Gower (prop→z),2,1.6610979891793949,0.5254813342912559,0.13333333333333333,6,3,2
5,N-sens (n=2/trt),Jaccard (incidence),2,1.943383092556757,0.5643819001021375,0.2,6,3,2
5,N-sens (n=2/trt),Gower (sqrt→z),2,4.308372441712233,0.7417520975018916,0.2,6,3,2
5,N-sens (n=2/trt),Gower (prop→z),2,2.2047773038412943,0.595117364154459,0.06666666666666667,6,3,2
6,N-sens (n=2/trt),Jaccard (incidence),2,2.286874684364455,0.6038949991682278,0.13333333333333333,6,3,2
6,N-sens (n=2/trt),Gower (sqrt→z),2,3.610571119999771,0.7064907297484069,0.06666666666666667,6,3,2
6,N-sens (n=2/trt),Gower (prop→z),2,1.6535361970364748,0.5243434968624683,0.06666666666666667,6,3,2
7,N-sens (n=2/trt),Jaccard (incidence),2,1.1041037754966938,0.42398608914351066,0.5333333333333333,6,3,2
7,N-sens (n=2/trt),Gower (sqrt→z),2,2.3346466653226647,0.6088296703931696,0.2,6,3,2
7,N-sens (n=2/trt),Gower (prop→z),2,1.385954443029191,0.48024127559492874,0.26666666666666666,6,3,2
8,N-sens (n=2/trt),Jaccard (incidence),2,1.8086208862542044,0.5466389013525821,0.4,6,3,2
8,N-sens (n=2/trt),Gower (sqrt→z),2,3.426627548025449,0.6955320885579858,0.2,6,3,2
8,N-sens (n=2/trt),Gower (prop→z),2,1.5475642782836865,0.5078036546468635,0.2,6,3,2
9,N-sens (n=2/trt),Jaccard (incidence),2,1.5440546557856154,0.5072361801556166,0.3333333333333333,6,3,2
9,N-sens (n=2/trt),Gower (sqrt→z),2,3.551394279432398,0.7030522827910104,0.06666666666666667,6,3,2
9,N-sens (n=2/trt),Gower (prop→z),2,1.8407431947195314,0.5509981125245004,0.06666666666666667,6,3,2
10,N-sens (n=2/trt),Jaccard (incidence),2,0.9915373305725531,0.3979620607750231,0.4,6,3,2
10,N-sens (n=2/trt),Gower (sqrt→z),2,2.9323541857874753,0.6615793916447807,0.2,6,3,2
10,N-sens (n=2/trt),Gower (prop→z),2,0.9786482726432467,0.39483144238113693,0.4666666666666667,6,3,2
11,N-sens (n=2/trt),Jaccard (incidence),2,2.680194310518757,0.6411650060798605,0.06666666666666667,6,3,2
11,N-sens (n=2/trt),Gower (sqrt→z),2,4.385689952064998,0.7451445774044343,0.06666666666666667,6,3,2
