from,to,weight,abs_weight,Effect
growth_vol_b,protein_mg_cm2,0.3655784525450411,0.3655784525450411,Positive
protein_mg_cm2,carb_mg_cm2,0.7831214843953573,0.7831214843953573,Positive
carb_mg_cm2,zoox_cells_cm2,0.3607065757713282,0.3607065757713282,Positive
protein_mg_cm2,afdw_mg_cm2,0.5097698645993316,0.5097698645993316,Positive
carb_mg_cm2,afdw_mg_cm2,0.5480216907568519,0.5480216907568519,Positive
zoox_cells_cm2,afdw_mg_cm2,0.340195404621514,0.340195404621514,Positive
zoox_cells_cm2,Apataxia_cerithiiformis,-0.3810429871571423,0.3810429871571423,Negative
afdw_mg_cm2,Athanas_djiboutensis,0.31677214572426815,0.31677214572426815,Positive
growth_vol_b,Caracanthus_maculatus,0.3208772329246387,0.3208772329246387,Positive
protein_mg_cm2,Caracanthus_maculatus,0.40631642902571063,0.40631642902571063,Positive
carb_mg_cm2,Caracanthus_maculatus,0.34783362778644444,0.34783362778644444,Positive
afdw_mg_cm2,Caracanthus_maculatus,0.37858035110580845,0.37858035110580845,Positive
Athanas_djiboutensis,Cellana_taitensis,0.3554785370630758,0.3554785370630758,Positive
Cerithium_zebrum,Coralliogalathea_humilis,0.4393494521884904,0.4393494521884904,Positive
growth_vol_b,Dascyllus_aruanus,0.40462410333316967,0.40462410333316967,Positive
Cerithium_zebrum,Dascyllus_aruanus,0.3053635651653253,0.3053635651653253,Positive
Coralliogalathea_humilis,Dascyllus_aruanus,0.3867957728878685,0.3867957728878685,Positive
protein_mg_cm2,Dascyllus_flavicaudus,0.3163168540134722,0.3163168540134722,Positive
Dascyllus_flavicaudus,Diala_albugo,-0.31757708638474047,0.31757708638474047,Negative
Cerithium_zebrum,Diala_semistriata,0.30009650577995517,0.30009650577995517,Positive
protein_mg_cm2,Fennera_chacei,0.3901088463952716,0.3901088463952716,Positive
carb_mg_cm2,Fennera_chacei,0.3006792272260327,0.3006792272260327,Positive
Alpheus_diadema,Fennera_chacei,-0.3080921355265195,0.3080921355265195,Negative
Dascyllus_flavicaudus,Fennera_chacei,0.30415181322803303,0.30415181322803303,Positive
zoox_cells_cm2,Galathea_mauritiana,-0.44602025742900503,0.44602025742900503,Negative
Alpheus_diadema,Galathea_mauritiana,0.45246760008373976,0.45246760008373976,Positive
Dascyllus_flavicaudus,Galathea_mauritiana,-0.3374221914876626,0.3374221914876626,Negative
zoox_cells_cm2,Galeropsis_monodonta,0.5054703609887606,0.5054703609887606,Positive
Cerithium_zebrum,Hargeria_rapax,0.48062369098546276,0.48062369098546276,Positive
Calcinus_latens,Harpiliopsis_beaupresii,0.39126154065251756,0.39126154065251756,Positive
Carinomitra_typha,Harpiliopsis_beaupresii,0.3339559781113275,0.3339559781113275,Positive
Cellana_taitensis,Harpiliopsis_beaupresii,0.40368961492313693,0.40368961492313693,Positive
Chlorodiella_barbata,Harpiliopsis_beaupresii,0.3431484647622594,0.3431484647622594,Positive
growth_vol_b,Harpiliopsis_spinigera,0.3737163072832965,0.3737163072832965,Positive
Caracanthus_maculatus,Harpiliopsis_spinigera,0.43121977799709504,0.43121977799709504,Positive
