species,slope,p,R2m,R2c
Luniella pugil,-0.5413207457832235,0.022375591182475844,0.1044965761963026,0.41828975417151354
Fennera chacei,0.02170873848013288,0.02916956697018513,0.10724099108513001,0.34837624984994336
Calcinus latens,0.126050813858106,0.10881446228458092,0.0550596349157997,0.4280539417729162
Dascyllus flavicaudus,0.11659835872881077,0.144689437599545,0.03877647612277011,0.4271380396077377
Harpiliopsis spinigera,0.08419522518127583,0.19823961184004832,0.035149778203795015,0.33877366636695594
Dascyllus aruanus,0.08385291266685897,0.20818041476002358,0.03564588361049205,0.24981335640226113
Periclimenes watamuae,0.026016092900697518,0.22778653053919568,0.030768340550465928,0.358718254695291
Apataxia cerithiiformis,-0.05585781648490684,0.31130666637740295,0.02162071502172815,0.28581709208373657
Paragobiodon modestus,-0.09660830524884269,0.33263872862491195,0.02128505698032068,0.39883041062806524
Galathea mauritiana,-0.14146240488725031,0.34715265816525454,0.02187577737055373,0.40432018743563614
Cerithium zebrum,-0.09952572867498073,0.3691858127522051,0.016544868721850736,0.35789473724277915
Alpheus lottini,-0.0999555670384143,0.4654973913450636,0.010676255981294321,0.29276005914596315
Synalpheus charon,-0.24226639666757332,0.4857747190909588,0.010340692772602581,0.39039065829079467
Hargeria rapax,-0.13929513305263555,0.5075369066244741,0.00940404083494809,0.278082656800698
Diala semistriata,-0.08446325185582156,0.5759122805135344,0.007155492983832962,0.2980894662181637
Galeropsis monodonta,-0.006817872138588686,0.6462172895071208,0.004823846132900759,0.3017457745448256
Diala albugo,-0.048128501265491834,0.6726176979658449,0.0038008057675956025,0.2790341609786222
Athanas djiboutensis,0.03202632177492276,0.7274155324945475,0.002516740563799626,0.2874972524470238
Trapezia serenei,-0.014763667427152644,0.8727957005833827,6.494320769498032e-4,0.3031321435957416
Chlorodiella barbata,-0.02343530368379502,0.9457214851904805,9.707832353711182e-5,0.29413944006077797
Strigatella assimilis,0.012392219672710146,0.9676862490135902,4.4309415536002084e-5,0.3094907307660205
