result_key,result_label,analysis_scope,scenario_id,scenario_type,requested_n_species,n_species_full_scope,n_species_condition_scope,metric,estimate,statistic,df,R2,p_value,significant,direction,n_units,details,stars
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,damselfish_only,functional_subset,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),-0.3285714285714286,10.612923095349899,2,NA,0.00495944446434214,TRUE,negative,44,NA,**
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,obligate_plus_damselfish,functional_subset,27,27,26,LMM treatment LRT; estimate is mean(6) - mean(1),0.5108009067534311,2.3349867866627534,2,NA,0.3111458849550578,FALSE,positive,44,NA,NS
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_005_by_abundance,ranked_top_N,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),-0.13493840551754088,1.9861056255949947,2,NA,0.37044406666914154,FALSE,negative,44,NA,NS
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_010_by_abundance,ranked_top_N,10,10,10,LMM treatment LRT; estimate is mean(6) - mean(1),0.19368419166876993,0.703053388537171,2,NA,0.7036130672751058,FALSE,positive,44,NA,NS
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_015_by_abundance,ranked_top_N,15,15,15,LMM treatment LRT; estimate is mean(6) - mean(1),0.648559433273963,2.481932745237401,2,NA,0.2891047000355274,FALSE,positive,44,NA,NS
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_020_by_abundance,ranked_top_N,20,20,20,LMM treatment LRT; estimate is mean(6) - mean(1),1.016995556564133,5.089261491049086,2,NA,0.0785020338568818,FALSE,positive,44,NA,.
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_025_by_abundance,ranked_top_N,25,25,25,LMM treatment LRT; estimate is mean(6) - mean(1),1.1560797047650127,5.092695638373442,2,NA,0.07836735574133105,FALSE,positive,44,NA,.
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_030_by_abundance,ranked_top_N,30,30,30,LMM treatment LRT; estimate is mean(6) - mean(1),1.4025833307132949,6.187337861892985,2,NA,0.045335316753923806,TRUE,positive,44,NA,*
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_038_by_abundance,ranked_top_N,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),1.7086680778473937,6.900278980303995,2,NA,0.03174120848325536,TRUE,positive,44,NA,*
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_050_by_abundance,ranked_top_N,50,50,50,LMM treatment LRT; estimate is mean(6) - mean(1),1.8126496786061672,6.793172064828525,2,NA,0.033487399929357745,TRUE,positive,44,NA,*
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_075_by_abundance,ranked_top_N,75,75,71,LMM treatment LRT; estimate is mean(6) - mean(1),2.006806984903191,7.5541876847538845,2,NA,0.022889114234584573,TRUE,positive,44,NA,*
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,top_100_by_abundance,ranked_top_N,100,100,85,LMM treatment LRT; estimate is mean(6) - mean(1),2.001599366566456,6.935624220385648,2,NA,0.031185185826081766,TRUE,positive,44,NA,*
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,all_observed_species,reference_full,118,118,96,LMM treatment LRT; estimate is mean(6) - mean(1),2.0088172340504595,6.892140980461875,2,NA,0.031870626580620065,TRUE,positive,44,NA,*
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,main_38_10x10_corrected,reference_main,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),1.6711028094861398,6.834469773920688,2,NA,0.03280301369196141,TRUE,positive,44,NA,*
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,damselfish_only,functional_subset,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),-0.5761904761904761,3.6044250121466064,2,NA,0.1649335677134334,FALSE,negative,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,obligate_plus_damselfish,functional_subset,27,27,26,LMM treatment LRT; estimate is mean(6) - mean(1),-1.3952380952380956,3.603113789377062,2,NA,0.16504173549229662,FALSE,negative,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_005_by_abundance,ranked_top_N,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),-0.5904761904761902,5.465134975349756,2,NA,0.06505205472443631,FALSE,negative,44,NA,.
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_010_by_abundance,ranked_top_N,10,10,10,LMM treatment LRT; estimate is mean(6) - mean(1),-0.47142857142857153,3.247692943454524,2,NA,0.19713894944720534,FALSE,negative,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_015_by_abundance,ranked_top_N,15,15,15,LMM treatment LRT; estimate is mean(6) - mean(1),0.05714285714285694,1.100635299788479,2,NA,0.5767665714386938,FALSE,positive,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_020_by_abundance,ranked_top_N,20,20,20,LMM treatment LRT; estimate is mean(6) - mean(1),1.0428571428571427,1.3853254549335645,2,NA,0.5002422852297573,FALSE,positive,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_025_by_abundance,ranked_top_N,25,25,25,LMM treatment LRT; estimate is mean(6) - mean(1),1.076190476190476,1.0997176075721882,2,NA,0.5770312792607395,FALSE,positive,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_030_by_abundance,ranked_top_N,30,30,30,LMM treatment LRT; estimate is mean(6) - mean(1),2.0952380952380967,2.5132276389417996,2,NA,0.2846161582979512,FALSE,positive,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_038_by_abundance,ranked_top_N,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),2.923809523809524,2.8109092148210095,2,NA,0.24525553612167425,FALSE,positive,44,NA,NS
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_050_by_abundance,ranked_top_N,50,50,50,LMM treatment LRT; estimate is mean(6) - mean(1),3.119047619047617,2.112935959679646,2,NA,0.34768166283023305,FALSE,positive,44,NA,NS
