result_key,result_label,analysis_scope,metric,reference_estimate,reference_p,reference_significant,reference_direction,whole_estimate,whole_p,whole_significant,whole_direction,obligate_damselfish_estimate,obligate_damselfish_p,obligate_damselfish_significant,obligate_damselfish_direction,estimate_min,estimate_max,p_min,p_max,prop_ranked_sig,ranked_sig_values,ranked_directions,sensitive,sensitivity_class,sensitivity_interpretation,reference_details,whole_details,obligate_damselfish_details
alpha_rarefied_richness_treatment,Treatment effect on rarefied richness,condition-subset coral-level alpha diversity,LMM treatment LRT; estimate is mean(6) - mean(1),1.6711028094861398,0.03280301369196141,TRUE,positive,2.0088172340504595,0.031870626580620065,TRUE,positive,0.5108009067534311,0.3111458849550578,FALSE,positive,-0.13493840551754088,2.006806984903191,0.022889114234584573,0.7036130672751058,0.5,FALSE/TRUE,negative | positive,TRUE,direction-sensitive across top-N,Alpha-diversity treatment tests are weak/variable and should not be over-emphasized as robust treatment effects.,NA,NA,NA
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,LMM treatment LRT; estimate is mean(6) - mean(1),2.7857142857142847,0.24940640730295183,FALSE,positive,4.414285714285715,0.08087786524265939,FALSE,positive,-1.3952380952380956,0.16504173549229662,FALSE,negative,-0.5904761904761902,4.366666666666667,0.06312978357610696,0.5770312792607395,0,FALSE,negative | positive,TRUE,direction-sensitive across top-N,Alpha-diversity treatment tests are weak/variable and should not be over-emphasized as robust treatment effects.,NA,NA,NA
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,LMM treatment LRT; estimate is mean(6) - mean(1),0.28747362679258126,0.02468826101946422,TRUE,positive,0.3460721117026653,0.017382889279244626,TRUE,positive,0.0944543209060269,0.36650174378586714,FALSE,positive,-0.05896613404901929,0.34545356457420207,0.013345237762758843,0.8228927142031146,0.5,FALSE/TRUE,negative | positive,TRUE,direction-sensitive across top-N,Alpha-diversity treatment tests are weak/variable and should not be over-emphasized as robust treatment effects.,NA,NA,NA
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,LMM treatment LRT; estimate is mean(6) - mean(1),0.058194973438914444,0.08511389415599978,FALSE,positive,0.06272207472964397,0.059477461923380034,FALSE,positive,0.06456438001715803,0.18193789990034379,FALSE,positive,-0.012542727444981416,0.06287654586148739,0.057475014978410094,0.9157893484797501,0,FALSE,negative | positive,TRUE,direction-sensitive across top-N,Alpha-diversity treatment tests are weak/variable and should not be over-emphasized as robust treatment effects.,NA,NA,NA
cafi_pc1_condition_HELLINGER,CAFI community PC1 predicts coral condition PC1 (HELLINGER),condition-subset coral-level CAFI-condition link,LMM slope; PC1 aligned to condition PC1,0.31116363236126515,0.007838381604339147,TRUE,positive,0.17354021636396655,0.05424406843996317,FALSE,positive,0.32292907024900436,0.01516205076804907,TRUE,positive,0.19995426747378134,0.37762901607965277,0.002792700940574855,0.04589571026742705,1,TRUE,positive,TRUE,functional-subset sensitive,The CAFI-condition link is the key test for whether reduced matrices retain the feedback signal.,PC1 variance=0.147; PCA species used=38,PC1 variance=0.090; PCA species used=96,PC1 variance=0.128; PCA species used=26
cafi_pc1_condition_SQRT,CAFI community PC1 predicts coral condition PC1 (SQRT),condition-subset coral-level CAFI-condition link,LMM slope; PC1 aligned to condition PC1,0.17941878154270124,0.15333407193156448,FALSE,positive,0.17889163181521367,0.1557251992287116,FALSE,positive,0.27066641107427825,0.013805503110968474,TRUE,positive,0.17624339962718452,0.19125041436991533,0.11337689279358178,0.1567417052037056,0,FALSE,positive,TRUE,functional-subset sensitive,The CAFI-condition link is the key test for whether reduced matrices retain the feedback signal.,PC1 variance=0.742; PCA species used=38,PC1 variance=0.718; PCA species used=96,PC1 variance=0.793; PCA species used=26
species_condition_sig_negative_count,Number of included species negatively associated with coral condition,condition-subset per-species LMMs,unadjusted p < 0.05 count,2,NA,TRUE,count,2,NA,TRUE,count,1,NA,TRUE,count,0,2,NA,NA,0.7,FALSE/TRUE,count,TRUE,identity/count depends on included species,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH-negative=0,BH-negative=0,BH-negative=0
species_condition_sig_positive_count,Number of included species positively associated with coral condition,condition-subset per-species LMMs,unadjusted p < 0.05 count,2,NA,TRUE,count,6,NA,TRUE,count,2,NA,TRUE,count,1,6,NA,NA,1,TRUE,count,TRUE,identity/count depends on included species,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH-positive=1,BH-positive=2,BH-positive=1
species_scaling_point_above_pct_t6,Percent of included species with observed 6-coral density above proportional expectation,full CAFI reef-level abundance,point-estimate percent,68.42105263157895,NA,NA,mostly above,54.54545454545454,NA,NA,mostly above,45.45454545454545,NA,NA,mostly below,40,68.42105263157895,NA,NA,0,,mostly above | mostly below,TRUE,identity/count depends on included species,NA,26 above; 12 below,42 above; 35 below,10 above; 12 below
species_scaling_sig_above_count,Number of species significantly above proportional scaling,full CAFI reef-level abundance,CI non-overlap count,2,NA,TRUE,count,6,NA,TRUE,count,0,NA,FALSE,count,0,6,NA,NA,0.6,FALSE/TRUE,count,TRUE,identity/count depends on included species,The number and identity of above-expected species necessarily change with N; the corrected 38-species set should be the stated inferential universe.,Mitrella moleculina; Xanthias lamarckii,Breviturma pica; Chlorodiella laevissima; Cyclodius nitidus; Mitrella moleculina; Morula uva; Xanthias lamarckii,
