species,treatment,observed_mean,expected_median,expected_parametric,deviation_pct,direction,significant,scenario_id,scenario_type,n_species_full_scope
Fennera chacei,3,51.83333333333333,100,102.16666666666667,-49.265905383360526,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Fennera chacei,6,97.33333333333333,204,204.33333333333334,-52.365415986949436,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Galeropsis monodonta,3,64,47,49,30.612244897959183,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Galeropsis monodonta,6,116.66666666666667,97,98,19.047619047619055,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Periclimenes watamuae,3,22.333333333333332,19,26.666666666666668,-16.25000000000001,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Periclimenes watamuae,6,11,46,53.333333333333336,-79.37500000000001,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Trapezia serenei,3,18.5,14,14,32.142857142857146,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Trapezia serenei,6,39.666666666666664,28,28,41.666666666666664,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Harpiliopsis spinigera,3,16,15,16.5,-3.0303030303030303,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Harpiliopsis spinigera,6,23.666666666666668,32,33,-28.28282828282828,Proportional,FALSE,top_005_by_abundance,ranked_top_N,5
Fennera chacei,3,51.83333333333333,100,102.16666666666667,-49.265905383360526,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Fennera chacei,6,97.33333333333333,204,204.33333333333334,-52.365415986949436,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Galeropsis monodonta,3,64,47,49,30.612244897959183,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Galeropsis monodonta,6,116.66666666666667,97,98,19.047619047619055,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Periclimenes watamuae,3,22.333333333333332,19,26.666666666666668,-16.25000000000001,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Periclimenes watamuae,6,11,46,53.333333333333336,-79.37500000000001,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Trapezia serenei,3,18.5,14,14,32.142857142857146,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Trapezia serenei,6,39.666666666666664,28,28,41.666666666666664,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Harpiliopsis spinigera,3,16,15,16.5,-3.0303030303030303,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Harpiliopsis spinigera,6,23.666666666666668,32,33,-28.28282828282828,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Calcinus latens,3,16,9,9.833333333333332,62.711864406779675,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Calcinus latens,6,23,19,19.666666666666664,16.949152542372897,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Dascyllus aruanus,3,13,14,14.833333333333334,-12.359550561797757,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Dascyllus aruanus,6,10,30,29.666666666666668,-66.29213483146067,Below Expected,TRUE,top_010_by_abundance,ranked_top_N,10
Paragobiodon modestus,3,8.333333333333334,9,9.5,-12.280701754385959,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Paragobiodon modestus,6,16.333333333333332,19,19,-14.035087719298252,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Apataxia cerithiiformis,3,7.666666666666666,3,3,155.55555555555554,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Apataxia cerithiiformis,6,27,6,6,350,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Galathea mauritiana,3,5.833333333333334,4,8.5,-31.37254901960784,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Galathea mauritiana,6,14.666666666666666,9,17,-13.725490196078436,Proportional,FALSE,top_010_by_abundance,ranked_top_N,10
Fennera chacei,3,51.83333333333333,100,102.16666666666667,-49.265905383360526,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Fennera chacei,6,97.33333333333333,204,204.33333333333334,-52.365415986949436,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Galeropsis monodonta,3,64,47,49,30.612244897959183,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Galeropsis monodonta,6,116.66666666666667,97,98,19.047619047619055,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Periclimenes watamuae,3,22.333333333333332,19,26.666666666666668,-16.25000000000001,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Periclimenes watamuae,6,11,46,53.333333333333336,-79.37500000000001,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Trapezia serenei,3,18.5,14,14,32.142857142857146,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Trapezia serenei,6,39.666666666666664,28,28,41.666666666666664,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Harpiliopsis spinigera,3,16,15,16.5,-3.0303030303030303,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Harpiliopsis spinigera,6,23.666666666666668,32,33,-28.28282828282828,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Calcinus latens,3,16,9,9.833333333333332,62.711864406779675,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Calcinus latens,6,23,19,19.666666666666664,16.949152542372897,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Dascyllus aruanus,3,13,14,14.833333333333334,-12.359550561797757,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Dascyllus aruanus,6,10,30,29.666666666666668,-66.29213483146067,Below Expected,TRUE,top_015_by_abundance,ranked_top_N,15
Paragobiodon modestus,3,8.333333333333334,9,9.5,-12.280701754385959,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Paragobiodon modestus,6,16.333333333333332,19,19,-14.035087719298252,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Apataxia cerithiiformis,3,7.666666666666666,3,3,155.55555555555554,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Apataxia cerithiiformis,6,27,6,6,350,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Galathea mauritiana,3,5.833333333333334,4,8.5,-31.37254901960784,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Galathea mauritiana,6,14.666666666666666,9,17,-13.725490196078436,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Athanas djiboutensis,3,6.666666666666667,3,5.166666666666667,29.032258064516128,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
