scenario_id,scenario_type,requested_n_species,n_species_full_scope,n_species_condition_scope,species,total_count,prevalence,genus,family,abundance_rank,total_count_condition,prevalence_condition
all_observed_species,reference_full,118,118,96,Fennera chacei,1216,48,Fennera,Palaemonidae,1,1080,41
all_observed_species,reference_full,118,118,96,Galeropsis monodonta,1028,53,Galeropsis,Muricidae,2,974,44
all_observed_species,reference_full,118,118,96,Periclimenes watamuae,327,35,Periclimenes,Palaemonidae,3,302,31
all_observed_species,reference_full,118,118,96,Trapezia serenei,314,54,Trapezia,Trapeziidae,4,257,44
all_observed_species,reference_full,118,118,96,Harpiliopsis spinigera,266,52,Harpiliopsis,Palaemonidae,5,237,44
all_observed_species,reference_full,118,118,96,Calcinus latens,224,44,Calcinus,Diogenidae,6,150,36
all_observed_species,reference_full,118,118,96,Dascyllus aruanus,197,39,Dascyllus,Pomacentridae,7,168,32
all_observed_species,reference_full,118,118,96,Paragobiodon modestus,156,41,Paragobiodon,Gobiidae,8,136,34
all_observed_species,reference_full,118,118,96,Apataxia cerithiiformis,145,37,Apataxia,Rissoinidae,9,110,29
all_observed_species,reference_full,118,118,96,Galathea mauritiana,130,30,Galathea,Galatheidae,10,54,21
all_observed_species,reference_full,118,118,96,Athanas djiboutensis,115,27,Athanas,Alpheidae,11,74,20
all_observed_species,reference_full,118,118,96,Dascyllus flavicaudus,113,28,Dascyllus,Pomacentridae,12,106,25
all_observed_species,reference_full,118,118,96,Alpheus lottini,111,40,Alpheus,Alpheidae,13,89,33
all_observed_species,reference_full,118,118,96,Synalpheus charon,92,50,Synalpheus,Alpheidae,14,78,41
all_observed_species,reference_full,118,118,96,Diala albugo,92,34,Diala,Dialidae,15,74,26
all_observed_species,reference_full,118,118,96,Cerithium zebrum,91,37,Cerithium,Cerithiidae,16,79,30
all_observed_species,reference_full,118,118,96,Chlorodiella barbata,76,22,Chlorodiella,Xanthidae,17,19,14
all_observed_species,reference_full,118,118,96,Hargeria rapax,67,28,Hargeria,Leptocheliidae,18,39,22
all_observed_species,reference_full,118,118,96,Diala semistriata,57,25,Diala,Dialidae,19,46,18
all_observed_species,reference_full,118,118,96,Luniella pugil,50,31,Luniella,Xanthidae,20,39,26
all_observed_species,reference_full,118,118,96,Mitrella moleculina,39,14,Mitrella,Columbellidae,21,17,9
all_observed_species,reference_full,118,118,96,Strigatella assimilis,36,23,Strigatella,Mitridae,22,28,19
all_observed_species,reference_full,118,118,96,Menaethius monoceros,35,18,Menaethius,Epialtidae,23,18,10
