species_clean,metric,n,r,p_value,transform,species_original,norm_name,class,family_lc,genus_lc,genus_from_name_lc,species_label,Effect,p_BH
Alpheus_diadema,afdw_mg_cm2,44,-0.1855304915151425,0.2279166083228356,raw,Alpheus diadema,alpheus diadema,Malacostraca,NA,NA,alpheus,italic(Alpheus diadema),Negative,0.7674695299352391
Alpheus_diadema,carb_mg_cm2,44,-0.2477358438188203,0.104937695015735,raw,Alpheus diadema,alpheus diadema,Malacostraca,NA,NA,alpheus,italic(Alpheus diadema),Negative,0.764026758442577
Alpheus_diadema,growth_vol_b,44,-0.22257455905718146,0.1464524325641227,raw,Alpheus diadema,alpheus diadema,Malacostraca,NA,NA,alpheus,italic(Alpheus diadema),Negative,0.764026758442577
Alpheus_diadema,protein_mg_cm2,44,-0.32686010735044163,0.030341770945250316,raw,Alpheus diadema,alpheus diadema,Malacostraca,NA,NA,alpheus,italic(Alpheus diadema),Negative,0.6605704082354257
Alpheus_diadema,zoox_cells_cm2,44,-0.07360655764715197,0.634901195788142,raw,Alpheus diadema,alpheus diadema,Malacostraca,NA,NA,alpheus,italic(Alpheus diadema),Negative,0.8935646459240517
Alpheus_lottini,afdw_mg_cm2,44,-0.16414080371303585,0.28701875858382897,raw,Alpheus lottini,alpheus lottini,Malacostraca,NA,NA,alpheus,italic(Alpheus lottini),Negative,0.8020910702812067
Alpheus_lottini,carb_mg_cm2,44,-0.04573508926355933,0.7681520529440873,raw,Alpheus lottini,alpheus lottini,Malacostraca,NA,NA,alpheus,italic(Alpheus lottini),Negative,0.9477200653206272
Alpheus_lottini,growth_vol_b,44,-0.11812821677543266,0.44504847998338504,raw,Alpheus lottini,alpheus lottini,Malacostraca,NA,NA,alpheus,italic(Alpheus lottini),Negative,0.8897294631367394
Alpheus_lottini,protein_mg_cm2,44,-0.15317578270113985,0.3208675762595874,raw,Alpheus lottini,alpheus lottini,Malacostraca,NA,NA,alpheus,italic(Alpheus lottini),Negative,0.8020910702812067
Alpheus_lottini,zoox_cells_cm2,44,-0.024294319811588718,0.8756120957760675,raw,Alpheus lottini,alpheus lottini,Malacostraca,NA,NA,alpheus,italic(Alpheus lottini),Negative,0.9768909486244352
Apataxia_cerithiiformis,afdw_mg_cm2,44,-0.10597085452689708,0.4935796388187773,raw,Apataxia cerithiiformis,apataxia cerithiiformis,Gastropoda,NA,NA,apataxia,italic(Apataxia cerithiiformis),Negative,0.8897294631367394
Apataxia_cerithiiformis,carb_mg_cm2,44,-0.20893471334989866,0.17348379458070728,raw,Apataxia cerithiiformis,apataxia cerithiiformis,Gastropoda,NA,NA,apataxia,italic(Apataxia cerithiiformis),Negative,0.764026758442577
Apataxia_cerithiiformis,growth_vol_b,44,-0.05635007631851074,0.7163715325400785,raw,Apataxia cerithiiformis,apataxia cerithiiformis,Gastropoda,NA,NA,apataxia,italic(Apataxia cerithiiformis),Negative,0.9134939005544624
Apataxia_cerithiiformis,protein_mg_cm2,44,-0.11119279909043862,0.47240646440733836,raw,Apataxia cerithiiformis,apataxia cerithiiformis,Gastropoda,NA,NA,apataxia,italic(Apataxia cerithiiformis),Negative,0.8897294631367394
Apataxia_cerithiiformis,zoox_cells_cm2,44,-0.14280328718356108,0.35510557767040607,raw,Apataxia cerithiiformis,apataxia cerithiiformis,Gastropoda,NA,NA,apataxia,italic(Apataxia cerithiiformis),Negative,0.8020910702812067
Athanas_djiboutensis,afdw_mg_cm2,44,0.3034421965236319,0.045247012370381944,raw,Athanas djiboutensis,athanas djiboutensis,Malacostraca,NA,NA,athanas,italic(Athanas djiboutensis),Positive,0.6605704082354257
